	F_Day_0_DSS_D	O_Day_0_DSS_D	O_Day_3_DSS_D	F_Day_7_DSS_D	F_Day_3_DSS_D	O_Day_7_DSS_D
ASV_12157	0	0	5	0	0	0
ASV_12188	0	0	0	0	0	4
ASV_12198	0	0	0	0	3	0
ASV_12214	0	0	3	0	0	0
ASV_12215	0	0	3	0	0	0
ASV_12241	0	0	0	2	0	0
ASV_1225	0	0	0	24	0	34
ASV_12255	0	0	0	0	0	2
ASV_123	38	0	0	0	0	0
ASV_124	93	0	0	39	33	270
ASV_125	0	0	174	0	0	0
ASV_1250	0	0	0	0	0	39
ASV_126	4	0	0	497	72	4480
ASV_129	14	0	45	45	337	70
ASV_13	0	216	301	0	0	0
ASV_130	72	0	0	7	52	6
ASV_131	0	0	0	106	188	29
ASV_1364	0	0	0	82	135	59
ASV_137	0	0	0	39	104	141
ASV_1392	0	0	0	0	0	65
ASV_14	4	4116	2611	4	13	89
ASV_140	11	0	0	0	0	0
ASV_141	0	0	0	0	0	106
ASV_142	114	0	1413	5049	6649	5382
ASV_146	0	0	0	87	44	890
ASV_147	35	0	0	31	545	117
ASV_148	45	0	0	463	1481	507
ASV_149	0	0	63	260	276	155
ASV_150	25	0	86	43	158	95
ASV_151	0	0	0	6	0	0
ASV_152	0	0	0	11	14	86
ASV_1527	0	0	0	6	0	0
ASV_156	5	0	0	0	28	6
ASV_1567	0	28	0	0	0	0
ASV_1597	0	0	29	0	0	0
ASV_161	7	0	0	663	178	189
ASV_162	0	0	0	14	465	35
ASV_1645	0	0	0	37	0	91
ASV_166	9	0	0	75	146	180
ASV_167	0	96	0	0	0	0
ASV_169	0	0	872	2830	1004	2671
ASV_17	0	0	274	0	33	0
ASV_172	0	0	42	41	577	103
ASV_1736	0	0	0	2	6	5
ASV_1738	0	0	0	0	0	14
ASV_174	23	0	0	0	0	0
ASV_175	28	0	0	104	221	140
ASV_178	0	0	0	0	515	0
ASV_179	0	0	0	0	5	3
ASV_182	132	0	2529	12900	4518	14030
ASV_1823	0	727	171	0	3	4
ASV_184	6	0	0	2532	488	4641
ASV_187	0	0	28	0	0	556
ASV_188	38	0	0	64	38	45
ASV_189	0	0	0	74	127	6
ASV_1899	0	34	0	0	0	0
ASV_191	0	0	158	17	15	114
ASV_1912	0	0	37	0	0	0
ASV_1930	0	0	0	0	2	0
ASV_195	0	0	226	111	248	250
ASV_2	216	1718	3816	14	51	290
ASV_2009	14	0	0	0	0	0
ASV_2065	0	0	0	22	9	9
ASV_209	0	0	0	8	445	11
ASV_21	311	0	1120	1101	2100	1625
ASV_210	0	0	0	0	20	0
ASV_2104	0	0	0	0	0	6
ASV_2109	0	0	0	0	0	6
ASV_211	54	0	0	22	12	22
ASV_212	46	0	56	102	92	317
ASV_213	0	0	0	30	22	105
ASV_216	42	0	0	18	33	0
ASV_218	0	0	0	6	0	23
ASV_22	47	0	0	24	59	86
ASV_220	23	0	0	6	6	60
ASV_223	0	0	0	67	0	224
ASV_224	8	0	0	0	0	0
ASV_225	12	0	186	1311	1613	2126
ASV_226	0	0	43	0	0	0
ASV_228	49	0	51	25	78	48
ASV_2307	0	0	0	1444	458	1490
ASV_2309	0	0	0	18	18	1
ASV_231	12	0	53	333	472	508
ASV_232	46	0	0	94	597	116
ASV_233	0	0	0	0	31	3
ASV_234	0	0	0	106	248	246
ASV_237	92	0	22	401	841	683
ASV_238	0	0	0	0	0	6
ASV_240	0	0	0	82	105	86
ASV_241	0	0	0	175	104	66
ASV_245	0	0	105	0	0	0
ASV_248	0	0	0	9	71	19
ASV_25	287	0	386	7240	6659	3022
ASV_251	6	0	0	9	0	80
ASV_252	0	0	0	0	0	33
ASV_253	0	0	0	129	0	121
ASV_2533	5	0	0	0	0	0
ASV_256	0	0	0	11	12	43
ASV_2596	0	122	0	0	0	0
ASV_2598	0	334	244	0	0	0
ASV_26	192	105	127	6514	2473	17298
ASV_262	0	0	0	0	0	363
ASV_264	35	0	0	0	0	0
ASV_266	55	0	0	423	566	379
ASV_2663	0	0	0	558	182	546
ASV_2668	0	202	0	0	0	0
ASV_269	14	0	0	0	15	633
ASV_27	164	0	0	787	291	158
ASV_271	0	0	0	0	0	16
ASV_272	0	0	0	0	0	4
ASV_276	0	0	27	0	0	0
ASV_277	0	0	0	32	137	18
ASV_278	31	0	0	0	0	0
ASV_2787	0	0	0	186	0	55
ASV_280	0	0	37	18	0	298
ASV_281	247	0	0	492	2468	543
ASV_283	6	0	0	34	26	47
ASV_285	0	0	42	0	0	0
ASV_288	14	0	0	107	290	64
ASV_289	0	0	0	0	670	0
ASV_29	0	0	0	17	0	63
ASV_292	0	0	99	82	185	251
ASV_2942	5	0	0	0	0	0
ASV_296	0	0	77	6	16	33
ASV_299	0	0	0	0	0	5
ASV_30	280	0	1888	5257	11738	2965
ASV_301	0	0	0	14	7	8
ASV_304	9	0	183	181	471	282
ASV_312	0	0	95	0	0	0
ASV_32	0	0	0	92	0	3848
ASV_320	7	0	68	66	65	42
ASV_326	0	0	0	0	0	87
ASV_327	0	0	0	6	0	14
ASV_33	29	7034	849	95	126	53
ASV_332	4	0	0	127	36	1546
ASV_333	0	10	0	0	0	0
ASV_335	0	0	0	106	17	89
ASV_336	0	0	0	153	176	298
ASV_337	19	0	0	493	361	311
ASV_3372	98	0	0	0	0	0
ASV_340	0	0	86	7	0	30
ASV_342	0	0	0	86	463	25
ASV_344	0	0	209	0	0	239
ASV_346	0	0	0	35	125	85
ASV_348	0	16	0	0	0	0
ASV_350	11	0	0	0	7	0
ASV_356	0	0	105	0	537	141
ASV_357	0	0	0	9	47	0
ASV_3597	61	0	0	3091	1522	2463
ASV_36	0	0	0	27	21	109
ASV_360	5	0	243	189	216	470
ASV_3600	0	0	0	10	26	10
ASV_3607	0	998	893	22	28	0
ASV_3610	0	0	0	0	5	0
