	F_Day_0_Abx_E	O_Day_0_Abx_E	O_Day_3_Abx_E	F_Day_7_Abx_E	O_Day_7_Abx_E	F_Day_3_Abx_E
ASV_10998	0	0	0	0	0	22
ASV_11	83	9	0	24	0	1625
ASV_110	0	0	0	0	0	66
ASV_11003	0	48	0	0	0	0
ASV_11006	0	52	0	0	0	0
ASV_11007	0	41	0	0	0	0
ASV_1101	0	0	0	0	0	49
ASV_11022	9	0	0	0	0	0
ASV_11027	0	0	0	0	0	11
ASV_11028	0	0	0	0	0	43
ASV_11029	0	0	0	0	0	32
ASV_11030	0	0	0	0	0	21
ASV_11036	0	38	0	0	0	0
ASV_11037	0	30	0	0	0	0
ASV_11051	0	0	0	0	48	0
ASV_11061	0	0	0	0	0	29
ASV_11062	0	0	0	0	0	36
ASV_11063	0	0	0	0	0	38
ASV_11069	0	40	0	0	0	0
ASV_11070	0	42	0	0	0	0
ASV_11077	0	0	33	0	0	0
ASV_11078	0	0	38	0	0	0
ASV_11088	4	0	0	0	0	4
ASV_11094	0	0	0	0	0	30
ASV_11095	0	0	0	0	0	41
ASV_11098	0	30	0	0	0	0
ASV_111	0	193	8	0	0	0
ASV_11100	0	5	0	0	0	0
ASV_11123	0	0	0	0	0	18
ASV_11124	0	0	0	0	0	31
ASV_11125	0	0	0	0	0	34
ASV_11129	0	31	0	0	0	0
ASV_11131	0	31	0	0	0	0
ASV_11141	0	0	0	0	23	0
ASV_11152	0	34	0	0	0	0
ASV_11153	0	42	0	0	0	0
ASV_11177	0	0	0	0	0	24
ASV_11178	0	0	0	0	0	23
ASV_11179	0	0	0	0	0	22
ASV_11181	0	32	0	0	0	0
ASV_11183	0	32	0	0	0	0
ASV_11184	0	9	0	0	7	0
ASV_11217	0	0	0	0	0	34
ASV_11222	0	30	0	0	0	0
ASV_11223	0	36	0	0	0	0
ASV_11231	0	0	29	0	0	0
ASV_11232	0	0	26	0	0	0
ASV_11245	0	0	0	0	0	14
ASV_11246	0	0	0	0	0	24
ASV_11248	0	0	0	0	0	24
ASV_11250	0	14	0	0	0	0
ASV_11260	0	0	33	0	0	0
ASV_11273	0	0	0	0	0	18
ASV_11274	0	0	0	0	0	13
ASV_11275	2	0	0	0	0	0
ASV_11283	0	29	0	0	0	0
ASV_113	1048	0	0	31	0	561
ASV_11302	0	0	26	0	0	0
ASV_11321	0	0	0	0	0	23
ASV_11322	0	0	0	0	0	21
ASV_11323	0	0	0	0	0	18
ASV_11324	0	0	0	0	0	19
ASV_11370	0	0	14	0	0	0
ASV_11371	0	0	0	0	0	24
ASV_11379	0	0	2	0	0	0
ASV_1138	43	0	0	0	0	148
ASV_11380	0	24	0	0	0	0
ASV_11383	0	11	0	0	0	0
ASV_11395	0	0	16	0	0	0
ASV_11418	0	0	0	0	0	22
ASV_11427	0	24	0	0	0	0
ASV_11428	0	10	0	0	0	0
ASV_11429	0	18	0	0	0	0
ASV_11430	0	21	0	0	0	0
ASV_11461	0	0	0	0	0	14
ASV_11462	0	0	0	0	0	21
ASV_11463	0	0	0	0	0	23
ASV_11464	0	0	0	0	0	18
ASV_11469	0	9	0	0	0	0
ASV_115	181	0	0	0	0	79
ASV_1150	0	44	0	0	0	0
ASV_11524	0	0	0	0	0	16
ASV_11532	0	12	0	0	0	0
ASV_11533	0	14	0	0	0	0
ASV_11561	0	0	0	0	14	0
