	F_Day_0_Abx_E	O_Day_0_Abx_E	O_Day_3_Abx_E	F_Day_7_Abx_E	O_Day_7_Abx_E	F_Day_3_Abx_E
ASV_656	0	394	345	0	3	33
ASV_658	0	0	0	0	0	126
ASV_659	0	252	46	0	0	0
ASV_661	0	0	0	0	0	20
ASV_663	56	0	0	0	0	48
ASV_6642	0	37	0	0	0	35
ASV_6692	0	38	0	0	0	0
ASV_67	49	0	0	0	0	0
ASV_6812	0	38	0	0	0	0
ASV_6828	0	0	0	0	0	35
ASV_684	10	0	0	0	0	0
ASV_6863	0	94	8	5	0	0
ASV_69	42	0	17	18	0	30
ASV_7	1423	184	40	290	44	2506
ASV_70	84	0	0	27	0	388
ASV_706	0	0	0	0	0	101
ASV_71	154	0	0	22	0	237
ASV_710	0	0	0	0	0	46
ASV_713	0	73	0	0	0	0
ASV_714	0	0	0	0	0	32
ASV_719	0	0	0	0	0	67
ASV_721	0	0	0	0	0	88
ASV_722	0	0	0	0	0	17
ASV_7220	0	0	0	2	0	0
ASV_7239	0	58	0	0	0	0
ASV_726	24	0	0	0	0	0
ASV_729	0	0	0	0	0	226
ASV_73	42	0	0	0	0	43
ASV_7301	0	503	0	7	0	0
ASV_733	0	0	0	0	0	20
ASV_736	0	322	30	0	0	0
ASV_737	15	0	0	0	0	64
ASV_7395	0	123	0	0	0	129
ASV_74	29	0	0	0	0	0
ASV_740	28	0	0	0	0	0
ASV_7453	0	5	0	0	0	0
ASV_75	0	0	0	0	0	186
ASV_750	26	0	0	16	0	0
ASV_7505	0	0	0	0	0	35
ASV_756	19	0	0	0	0	110
ASV_76	111	0	0	18	0	297
ASV_7615	0	26	0	0	0	0
ASV_7663	0	64	0	0	0	0
ASV_77	30	0	0	0	0	0
ASV_770	0	0	0	0	0	31
ASV_771	0	0	3	0	0	85
ASV_7763	69	0	0	0	0	0
ASV_7765	5	0	0	0	0	0
ASV_7766	4905	0	0	220	165	2217
ASV_7767	1412	85	0	0	0	79
ASV_7779	13	0	0	23	27	448
ASV_779	213	0	0	11	0	180
ASV_7792	65	0	0	0	0	0
ASV_7798	2	0	0	0	0	0
ASV_7799	32	0	0	0	0	314
ASV_7813	483	0	0	0	0	426
ASV_7816	0	80	0	0	0	0
ASV_782	0	703	0	0	19	0
ASV_7846	4	0	0	0	0	0
ASV_7854	1	0	0	0	0	0
ASV_7870	0	0	0	0	0	57
ASV_79	127	0	0	7	0	82
ASV_792	30	0	0	0	0	0
ASV_7953	0	0	0	0	0	47
ASV_7976	0	0	0	0	0	39
ASV_80	577	0	0	29	0	156
ASV_804	7	0	0	0	0	0
ASV_806	0	0	22	0	0	0
ASV_8061	0	0	0	0	0	27
ASV_8100	167	0	0	0	0	0
ASV_8118	4	0	0	0	0	0
ASV_812	0	0	0	0	0	15
ASV_816	44	0	0	0	0	176
ASV_8254	0	0	0	0	0	17
ASV_829	73	0	0	0	0	376
ASV_8314	0	134	0	0	0	0
ASV_8326	0	0	0	0	0	47
ASV_833	0	0	0	0	0	13
ASV_835	68	0	0	13	0	512
ASV_837	5	0	0	0	0	0
ASV_8391	0	0	0	0	0	5
ASV_8410	0	0	0	0	0	10
ASV_8424	0	0	0	0	0	1
ASV_8425	2	0	0	0	0	0
ASV_848	0	0	0	3	0	0
ASV_8485	11	0	0	0	0	0
ASV_851	0	0	0	0	0	18
ASV_8520	1	0	0	0	0	0
ASV_856	0	37	0	0	0	0
ASV_86	1853	9	2	95	35	5493
ASV_860	0	0	0	0	0	328
ASV_861	29	0	0	0	0	0
ASV_8638	1	0	0	0	0	0
ASV_864	0	21	0	0	0	0
ASV_8652	0	0	0	4	0	0
ASV_87	55	0	0	7	0	0
ASV_879	21	0	0	0	0	0
ASV_89	4	0	0	0	0	72
ASV_892	0	0	0	0	0	98
ASV_8948	0	0	0	0	0	88
ASV_9	0	102	0	0	0	37
ASV_90	179	0	0	0	0	29
ASV_901	0	0	0	0	0	52
ASV_913	312	0	0	0	0	0
ASV_9155	15	0	0	0	0	0
ASV_921	315	0	0	0	0	0
ASV_9212	0	46	0	0	0	0
ASV_9268	0	110	15	0	0	0
ASV_93	325	0	0	17	0	194
ASV_932	2	0	0	0	0	0
ASV_933	12	0	0	0	0	47
ASV_943	0	0	0	0	0	272
ASV_946	0	64	0	0	0	0
ASV_948	0	0	0	0	0	118
ASV_95	0	0	0	30	0	283
ASV_955	0	0	0	0	0	44
ASV_965	0	291	0	0	0	0
ASV_9667	5	86	157	0	0	86
ASV_9668	0	280	92	4	0	374
ASV_9669	0	0	55	0	0	38
ASV_9672	0	0	0	0	0	48
ASV_9673	0	0	0	0	13	221
ASV_9674	0	152	0	0	0	0
ASV_9676	0	287	9	0	0	0
ASV_9677	0	0	0	0	2	81
ASV_9680	0	0	14	0	0	0
ASV_9684	0	71	35	0	0	228
ASV_9688	0	166	0	0	0	34
ASV_9693	0	28	0	0	0	0
ASV_9697	0	0	0	0	11	0
ASV_9706	0	0	0	0	0	35
ASV_9732	0	84	0	0	0	0
ASV_9736	0	0	12	0	0	0
ASV_9779	0	0	0	0	0	22
ASV_9790	0	246	0	0	0	145
ASV_98	21	0	0	0	0	17
ASV_9833	0	102	0	0	0	0
ASV_9835	0	35	0	0	0	0
ASV_9846	0	85	0	0	0	0
ASV_985	9	0	0	13	0	0
ASV_9851	0	533	0	0	0	0
ASV_9856	0	129	0	0	0	0
ASV_9861	0	134	0	0	0	0
ASV_9877	0	8	0	0	0	0
ASV_9884	0	189	0	0	0	0
ASV_9941	0	0	0	0	0	117
ASV_9947	0	90	0	0	0	0
ASV_9953	0	309	0	0	0	0
ASV_9988	0	141	0	0	0	0
ASV_9994	0	0	0	0	0	23
ASV_9997	0	30	0	0	0	118
