	KP_Exp_8_D0_AVN1	KP_Exp_8_D0_OR_AVN1	KP_Exp_8_D8_AVN1
ASV_4056	0	0	4
ASV_4067	0	0	2
ASV_407	41	0	0
ASV_41	0	152	620
ASV_410	0	257	0
ASV_4104	1	0	0
ASV_413	0	202	13
ASV_419	0	0	7
ASV_42	126	0	0
ASV_421	0	0	8
ASV_424	0	0	22
ASV_425	4	0	0
ASV_43	175	0	0
ASV_436	0	29	0
ASV_4386	0	175	8
ASV_44	381	0	0
ASV_444	86	0	0
ASV_447	0	0	4
ASV_45	49	0	3
ASV_454	0	69	0
ASV_457	0	0	21
ASV_458	0	56	268
ASV_46	5	0	0
ASV_460	10	0	0
ASV_4647	0	244	0
ASV_466	10	0	0
ASV_467	0	319	9
ASV_468	12	0	0
ASV_47	481	0	0
ASV_4704	3	0	0
ASV_472	31	0	0
ASV_475	132	0	0
ASV_4772	1	0	0
ASV_478	0	0	7
ASV_48	264	0	0
ASV_484	0	0	11
ASV_49	320	0	5
ASV_5	3039	0	0
ASV_50	34	0	0
ASV_505	2	0	0
ASV_506	12	0	0
ASV_507	0	111	0
ASV_508	11	0	0
ASV_51	247	0	20
ASV_517	0	0	13
ASV_52	1235	25	0
ASV_520	27	0	0
ASV_525	0	0	6
ASV_528	0	20	17
ASV_53	6	1314	254
ASV_530	0	0	9
ASV_534	27	0	0
ASV_537	0	0	15
ASV_54	128	0	0
ASV_546	0	0	14
ASV_55	199	0	0
ASV_553	29	0	0
ASV_555	0	0	23
ASV_556	0	0	11
ASV_559	0	0	8
ASV_5610	0	464	0
ASV_5612	0	1000	0
ASV_5614	0	157	0
ASV_5624	0	0	6
ASV_5626	13	0	0
ASV_563	0	0	31
ASV_565	0	0	9
ASV_5658	129	0	0
ASV_5682	0	636	0
ASV_569	0	216	0
ASV_571	5	0	0
ASV_5711	2	0	0
ASV_5747	0	17	0
ASV_5772	0	355	0
ASV_579	4	0	0
ASV_5797	81	0	0
ASV_5837	0	228	0
ASV_5856	0	199	0
ASV_5876	0	27	0
ASV_5878	0	170	0
ASV_5882	0	165	0
ASV_5888	0	152	0
ASV_59	98	0	3
ASV_592	0	31	0
ASV_5920	0	0	8
ASV_5921	0	131	0
ASV_5928	0	123	0
ASV_5938	0	0	13
ASV_594	0	0	5
ASV_5967	4	0	0
ASV_5978	0	86	0
ASV_5980	0	85	0
ASV_5988	0	80	0
ASV_599	0	0	22
ASV_6	4368	58	0
ASV_60	174	0	0
ASV_6003	0	70	0
ASV_6008	0	67	0
ASV_6010	0	66	0
ASV_6021	0	61	0
ASV_6026	0	59	0
ASV_6043	0	51	0
ASV_6050	1	0	0
ASV_6051	0	0	23
ASV_6059	0	46	0
ASV_6085	1	0	0
ASV_6094	0	0	5
ASV_6097	0	36	0
ASV_610	0	0	11
ASV_6115	3	0	0
ASV_6125	0	0	6
ASV_6134	0	29	0
ASV_6137	0	0	2
ASV_6140	0	28	0
ASV_615	0	0	7
ASV_6157	0	2	0
ASV_6164	0	25	0
ASV_62	9	0	0
ASV_6221	0	16	0
ASV_6257	1	0	0
ASV_6284	0	0	16
ASV_63	513	0	6
ASV_6312	0	0	6
ASV_6337	14	0	0
ASV_6339	0	14	0
ASV_6391	0	12	0
ASV_64	107	0	0
ASV_6439	1	0	0
ASV_6505	0	10	0
ASV_652	4	0	0
ASV_6528	0	0	10
ASV_6529	0	0	10
ASV_656	0	14	0
ASV_6567	0	9	0
ASV_659	0	0	3
ASV_66	10	0	0
ASV_666	0	0	42
ASV_6662	0	0	8
ASV_6663	0	0	4
ASV_67	115	0	0
ASV_6728	0	0	2
ASV_68	48	0	0
ASV_6852	2	0	0
ASV_6853	1	0	0
ASV_6897	0	0	6
ASV_698	0	0	4
ASV_6996	1	0	0
ASV_7	180	0	0
ASV_70	13	0	0
ASV_701	0	0	10
ASV_704	0	0	4
ASV_7042	0	0	5
ASV_7043	0	0	5
ASV_7044	0	0	3
ASV_708	0	0	3
ASV_71	244	0	23
ASV_7166	0	4	0
ASV_7167	0	4	0
ASV_7168	0	4	0
ASV_72	143	0	0
ASV_720	0	0	15
ASV_7214	0	0	4
ASV_7215	0	0	4
ASV_7352	0	3	0
ASV_7353	0	3	0
ASV_737	51	0	0
ASV_7390	0	0	3
ASV_7391	0	0	3
ASV_7392	0	0	3
ASV_7393	0	0	3
ASV_7394	0	0	3
ASV_7395	0	0	3
ASV_7396	0	0	3
ASV_7397	0	0	3
ASV_74	21	0	0
ASV_75	0	0	71
ASV_7569	0	0	2
ASV_7570	0	0	2
ASV_7571	0	0	2
ASV_76	50	0	0
ASV_765	1	0	0
ASV_769	0	19	0
ASV_7716	0	0	1
ASV_777	0	0	15
ASV_79	108	0	0
ASV_791	0	657	0
ASV_792	464	0	0
ASV_793	0	0	13
ASV_80	255	0	0
ASV_805	0	0	8
ASV_81	312	0	0
ASV_812	9	0	0
ASV_83	0	0	443
ASV_830	11	0	0
ASV_832	0	17	0
ASV_85	397	0	0
ASV_854	0	0	14
ASV_86	934	0	0
ASV_860	77	0	0
ASV_87	8	0	0
ASV_879	23	0	0
ASV_89	20	0	0
ASV_892	37	0	0
ASV_896	14	0	0
ASV_9	2	0	681
ASV_90	49	0	0
ASV_901	7	0	0
ASV_91	267	6	6
ASV_92	648	0	0
ASV_932	9	0	0
ASV_94	97	0	6
ASV_942	0	0	13
ASV_953	0	0	41
ASV_955	0	0	23
ASV_956	0	0	2
ASV_96	10	0	0
ASV_97	234	0	0
ASV_98	98	0	0
ASV_988	0	0	72
