	KP_Exp_8_D0_AVN3	KP_Exp_8_D0_OR_AVN3	KP_Exp_8_D8_AVN3
ASV_397	0	0	14
ASV_4	852	193	0
ASV_401	0	0	65
ASV_4019	0	0	21
ASV_402	0	0	33
ASV_405	0	0	10
ASV_4056	0	0	6
ASV_4079	0	0	5
ASV_4084	0	0	21
ASV_4085	0	0	11
ASV_409	9	0	0
ASV_41	0	0	3359
ASV_4129	0	0	26
ASV_413	0	0	82
ASV_415	0	0	32
ASV_416	0	0	21
ASV_417	0	0	62
ASV_418	0	0	13
ASV_4180	0	0	31
ASV_419	0	0	31
ASV_421	0	0	220
ASV_422	0	0	49
ASV_424	0	0	16
ASV_4241	0	0	12
ASV_4254	0	0	14
ASV_428	0	0	15
ASV_43	112	5	0
ASV_4316	0	0	14
ASV_4349	0	0	48
ASV_436	0	0	70
ASV_4386	0	8	0
ASV_44	64	4	0
ASV_442	0	0	19
ASV_443	0	0	279
ASV_447	0	0	8
ASV_449	0	0	33
ASV_45	26	17	0
ASV_454	0	0	41
ASV_457	0	0	52
ASV_458	0	0	2151
ASV_46	18	0	0
ASV_460	22	0	0
ASV_468	5	0	0
ASV_469	0	0	32
ASV_47	14	0	0
ASV_471	87	5	0
ASV_472	14	0	0
ASV_478	0	5	47
ASV_479	0	0	93
ASV_48	124	16	0
ASV_4838	0	6	0
ASV_484	0	0	24
ASV_49	49	8	0
ASV_4918	0	0	3
ASV_495	0	0	35
ASV_4999	0	0	6
ASV_5	774	0	2
ASV_50	18	0	0
ASV_5014	0	0	6
ASV_502	0	0	34
ASV_503	0	0	17
ASV_505	21	0	0
ASV_509	0	0	16
ASV_51	62	0	13
ASV_511	6	0	0
ASV_514	0	0	70
ASV_517	0	0	41
ASV_52	271	31	0
ASV_523	0	0	19
ASV_527	0	0	25
ASV_529	0	0	22
ASV_53	0	26	2021
ASV_530	0	2	22
ASV_5348	0	0	2
ASV_537	0	0	53
ASV_5376	0	0	37
ASV_538	19	0	0
ASV_54	40	0	0
ASV_5402	0	0	4
ASV_542	266	0	0
ASV_546	0	0	22
ASV_55	88	16	0
ASV_555	0	0	53
ASV_556	0	0	36
ASV_5599	0	0	11
ASV_56	107	0	0
ASV_560	0	0	96
ASV_5600	0	0	14
ASV_5606	0	0	9
ASV_5612	0	11	0
ASV_5614	0	16	0
ASV_5617	44	0	0
ASV_5626	18	0	0
