	F_Day_0_DSS_E	O_Day_0_DSS_E	O_Day_7_DSS_E	F_Day_3_DSS_E	F_Day_7_DSS_E
ASV_1923	0	0	167	0	0
ASV_195	0	0	211	75	0
ASV_2	3298	6004	302	0	0
ASV_2009	75	0	0	0	0
ASV_201	0	38	0	0	0
ASV_2065	0	0	0	2	0
ASV_2075	1	0	0	0	0
ASV_209	0	0	0	17	0
ASV_21	18	0	2320	599	0
ASV_210	25	0	0	0	0
ASV_211	669	0	3	0	0
ASV_212	80	0	125	0	0
ASV_213	62	380	54	4	0
ASV_216	276	498	67	7	0
ASV_22	600	337	58	80	0
ASV_220	20	0	42	21	0
ASV_224	252	0	0	0	0
ASV_225	139	0	2293	382	0
ASV_226	92	0	0	0	0
ASV_228	495	0	15	81	0
ASV_2307	0	0	171	10	0
ASV_2309	18	0	2	2	0
ASV_231	0	0	233	106	0
ASV_232	561	0	32	422	0
ASV_233	33	0	3	12	0
ASV_2336	0	0	4	0	0
ASV_234	0	0	210	50	0
ASV_235	0	0	61	0	0
ASV_237	755	0	69	1204	0
ASV_238	96	0	0	0	0
ASV_2385	0	0	10	0	0
ASV_239	11	0	0	0	0
ASV_24	0	169	0	0	0
ASV_240	59	0	35	11	0
ASV_241	33	0	34	35	0
ASV_247	43	0	0	0	0
ASV_248	106	0	47	70	0
ASV_25	2226	0	1377	2096	2
ASV_251	57	0	244	8	0
ASV_252	20	0	0	0	0
ASV_253	13	0	228	288	0
ASV_2533	6	0	0	0	0
ASV_256	0	0	25	6	0
ASV_2598	0	0	27	0	0
ASV_26	3528	24	21908	1943	0
ASV_262	2	0	97	0	0
ASV_263	17	0	0	0	0
ASV_2639	24	0	0	0	0
ASV_264	97	129	0	0	0
ASV_266	0	0	381	22	0
ASV_2663	0	0	62	9	0
ASV_269	68	0	2321	0	0
ASV_27	194	0	177	94	7
ASV_271	17	0	76	0	0
ASV_272	0	0	14	0	0
ASV_274	90	0	0	0	0
ASV_277	34	0	22	10	0
ASV_2777	953	0	0	141	0
ASV_278	196	0	0	0	0
ASV_2787	573	0	475	235	0
ASV_280	37	0	329	51	0
ASV_281	0	0	128	22	0
ASV_283	973	134	103	13	0
ASV_285	0	17434	20	0	0
ASV_288	0	0	19	22	0
ASV_289	0	0	37	0	0
ASV_29	33	0	0	0	0
ASV_2909	0	0	98	0	0
ASV_292	57	0	152	10	0
ASV_2942	98	0	0	0	0
ASV_296	62	0	184	0	0
ASV_299	32	0	0	0	0
ASV_30	1717	0	3222	2758	0
ASV_3007	0	0	1	0	0
ASV_301	45	0	0	3	0
ASV_304	203	0	186	78	0
ASV_3069	0	0	131	0	0
ASV_307	0	0	30	0	0
ASV_31	204	0	0	0	0
ASV_3100	16	0	216	9	0
ASV_3141	0	0	65	0	0
ASV_32	7	0	5289	11	0
ASV_320	229	0	114	82	0
ASV_3221	0	0	3	0	0
ASV_3231	6	0	0	0	0
ASV_3253	0	0	0	3	0
ASV_326	28	0	0	0	0
ASV_327	16	0	0	12	0
ASV_329	0	0	67	0	0
ASV_33	87	18013	1162	26	2
ASV_332	108	0	558	18	0
ASV_335	59	0	130	0	0
ASV_336	74	0	112	76	0
ASV_337	333	0	44	112	0
ASV_338	0	0	68	0	0
ASV_3393	0	218	0	43	0
ASV_3395	3	0	0	0	0
ASV_340	6	0	67	0	0
ASV_342	22	0	0	221	0
ASV_344	0	27	253	0	0
ASV_346	0	0	89	0	0
ASV_356	45	0	242	0	0
ASV_357	31	0	0	0	0
ASV_358	0	0	9	0	0
ASV_3597	1132	0	4600	3433	0
ASV_36	147	0	5	0	0
ASV_360	74	105	636	327	0
ASV_3600	550	0	64	109	0
ASV_3607	34	128	168	3	0
ASV_361	0	0	19	6	0
ASV_3610	2	0	0	0	0
ASV_3613	9	0	11	9	0
ASV_3618	1	0	0	1	0
ASV_3621	34	0	115	0	0
ASV_3622	41	145	0	0	0
ASV_3631	0	0	1	0	0
ASV_3636	0	0	1	0	0
ASV_3646	3	0	0	0	0
ASV_365	33	0	151	15	0
ASV_3650	1	77	13	0	0
ASV_3657	0	0	0	1	0
ASV_3659	0	0	13	0	0
ASV_366	0	0	10	0	0
ASV_367	0	0	13	0	0
ASV_369	108	0	420	39	0
ASV_37	43	0	0	0	0
ASV_370	0	0	81	23	0
ASV_3703	0	0	2	0	0
ASV_371	14	0	121	0	0
ASV_3715	5	0	0	0	0
ASV_3718	0	0	0	7	0
ASV_372	44	0	119	19	0
ASV_374	0	0	116	0	0
ASV_3763	0	42	26	0	0
ASV_3769	0	0	10	0	0
ASV_380	172	0	2610	1468	0
ASV_382	65	0	0	0	0
ASV_3842	0	5	0	12	0
ASV_385	0	0	0	12	0
ASV_3867	10	0	0	0	0
ASV_389	19	0	1147	0	0
ASV_3892	0	0	0	1	0
ASV_39	46	0	137	0	0
ASV_390	4	0	38	0	0
ASV_391	0	0	156	0	0
ASV_3918	85	0	86	6	0
ASV_3930	251	0	0	15	0
ASV_3941	319	0	0	44	0
ASV_395	0	0	11	0	0
ASV_3960	251	0	810	1235	2
ASV_3975	32	0	0	0	0
ASV_3987	346	0	1291	27	0
ASV_4	54004	141	85755	11853	27
ASV_40	0	0	0	0	3
ASV_400	57	0	0	0	0
ASV_4000	0	0	3	0	0
ASV_4011	0	0	5	0	0
ASV_4016	0	0	19	0	0
ASV_4018	175	940	0	0	0
ASV_4032	13	0	187	21	0
ASV_404	0	0	23	0	0
ASV_408	60	0	66	0	0
ASV_409	413	0	65	0	0
ASV_41	0	0	112	0	0
ASV_413	0	0	10	0	0
ASV_4138	0	0	6	0	0
ASV_4174	1	0	9	8	0
ASV_4181	0	0	14	0	0
ASV_419	0	0	15	0	0
ASV_42	785	25	0	0	0
ASV_424	0	181	0	0	0
ASV_425	41	0	0	0	0
ASV_426	0	0	23	0	0
ASV_43	159	6	12	0	0
ASV_4303	0	0	148	0	0
ASV_433	4	0	0	0	0
ASV_436	0	0	3	0	0
ASV_4386	9	0	0	0	0
ASV_439	213	0	0	0	0
ASV_44	0	0	526	92	0
ASV_441	0	0	2	0	0
ASV_4434	24	0	327	0	0
ASV_445	0	0	8	0	0
ASV_45	9	0	456	11	0
ASV_4518	0	0	3	0	0
ASV_453	0	0	180	0	0
ASV_46	292	14	832	0	0
ASV_460	219	0	103	1058	2
ASV_461	0	0	0	5	0
ASV_462	38	0	1014	0	0
ASV_466	8	0	0	74	0
ASV_467	0	141	18	0	0
ASV_47	0	0	8	0	0
ASV_471	6498	0	1096	82	3
ASV_477	0	0	30	0	0
ASV_48	2757	1433	759	545	0
ASV_481	101	0	73	0	0
ASV_486	62	0	0	0	0
ASV_4878	0	0	12	0	0
ASV_488	0	0	58	0	0
ASV_49	145	0	0	0	0
ASV_493	286	0	0	491	0
ASV_4994	20	0	3301	180	0
ASV_50	1992	4129	646	32	0
ASV_505	176	0	925	165	0
ASV_506	11	0	20	22	0
ASV_511	61	0	53	148	0
ASV_519	50	0	85	91	0
ASV_527	0	0	11	0	0
ASV_528	0	0	5	0	0
ASV_5292	2	0	0	0	0
ASV_53	0	9358	689	0	0
ASV_534	50	71	0	0	0
ASV_539	121	170	0	0	0
ASV_54	333	0	427	259	0
ASV_5409	0	14	0	15	0
ASV_543	0	0	11	0	0
ASV_544	0	0	4	86	0
ASV_547	60	0	375	71	0
ASV_55	336	0	0	0	0
ASV_552	119	0	6	0	0
ASV_5599	0	0	0	7	461
ASV_5600	0	0	3	0	125
ASV_5602	0	0	0	0	8
ASV_5605	0	0	0	0	11
ASV_5606	8	0	0	12	618
ASV_5608	0	0	0	0	351
ASV_563	0	0	19	0	0
ASV_564	9	0	0	3	0
ASV_566	74	0	17	18	0
ASV_567	0	0	1325	302	0
ASV_5675	0	0	25	0	0
ASV_568	82	0	144	104	0
ASV_5682	0	0	4	0	0
ASV_57	23	0	10	0	0
ASV_571	0	0	40	0	0
ASV_5711	5	0	0	8	0
ASV_572	130	0	0	0	0
ASV_578	2619	0	59	3	0
ASV_580	95	0	208	438	0
ASV_585	26	0	38	36	0
ASV_5856	0	0	18	13	0
ASV_5876	0	24	26	0	0
ASV_5888	0	0	7	0	0
ASV_5928	0	0	32	0	0
ASV_596	20	0	0	0	0
ASV_5966	0	0	37	0	0
ASV_5986	1	0	0	0	0
ASV_6011	0	0	24	0	0
ASV_604	59	0	115	275	0
ASV_6045	0	64	21	0	0
ASV_609	0	0	75	0	0
ASV_6109	0	0	15	0	0
ASV_6140	0	0	5	0	0
ASV_6143	0	48	0	0	0
ASV_615	0	0	4	0	0
ASV_6202	0	0	23	0	0
ASV_6310	0	18	9	0	0
ASV_633	0	0	5	0	0
ASV_64	69	0	71	5	0
ASV_647	35	0	0	0	0
ASV_648	62	0	0	31	0
ASV_65	0	0	10	0	0
ASV_6507	0	0	7	0	0
ASV_652	0	0	10	0	0
ASV_6536	0	790	0	0	0
ASV_654	0	0	49	18	0
ASV_655	62	0	0	0	0
ASV_656	0	0	130	0	0
ASV_658	0	0	38	0	0
ASV_659	0	301	42	0	0
ASV_662	0	64	0	0	0
ASV_663	73	0	0	25	0
ASV_6682	0	0	6	0	0
ASV_67	14	0	5	0	0
ASV_68	0	0	70	0	0
ASV_684	60	0	0	94	0
ASV_6856	0	0	3	0	0
ASV_6863	0	0	10	0	0
ASV_69	81	0	23	0	0
ASV_7	2240	988	17570	469	12
ASV_70	44	0	96	29	0
ASV_706	46	0	77	37	0
ASV_707	0	0	3	0	0
ASV_71	442	0	269	8	0
ASV_711	0	0	0	20	0
ASV_712	0	0	0	5	0
ASV_719	16	0	126	28	0
ASV_72	42	0	0	0	0
ASV_729	0	0	22	0	0
ASV_73	336	0	448	0	0
ASV_730	0	0	9	0	0
ASV_732	0	45	0	0	0
ASV_737	17	0	24	0	0
ASV_7395	0	0	32	0	0
