	F_Day_0_Control_E	O_Day_0_Control_E	F_Day_3_Control_E	O_Day_3_Control_E	F_Day_7_Control_E
ASV_237	33	0	166	36	118
ASV_238	0	0	37	0	7
ASV_239	0	0	0	0	5
ASV_240	0	0	29	0	19
ASV_241	0	0	84	0	12
ASV_242	0	58	0	0	0
ASV_247	0	0	11	23	0
ASV_248	0	0	32	9	0
ASV_249	0	0	0	0	35
ASV_25	839	0	2193	22	793
ASV_251	0	0	10	0	10
ASV_252	0	0	0	0	30
ASV_253	9	0	0	0	0
ASV_2598	0	24	0	7	0
ASV_26	713	0	452	39	88
ASV_263	0	0	5	0	0
ASV_2639	0	0	22	0	27
ASV_264	15	0	93	0	0
ASV_265	0	0	22	0	63
ASV_266	16	0	158	52	301
ASV_269	0	0	0	13	0
ASV_27	64	0	1503	0	49
ASV_271	0	0	0	7	0
ASV_274	0	4	33	39	56
ASV_276	0	0	0	4	0
ASV_2777	0	0	83	0	7
ASV_278	3	0	16	14	87
ASV_280	0	0	0	12	147
ASV_281	5	0	0	0	4
ASV_283	25	0	1036	188	935
ASV_29	0	0	32	9	4
ASV_2910	0	0	0	22	0
ASV_292	0	0	4	0	56
ASV_2942	6	0	0	0	10
ASV_296	0	0	37	16	5
ASV_299	0	0	102	229	108
ASV_30	685	35	690	52	1115
ASV_301	0	0	4	0	4
ASV_302	0	70	0	0	0
ASV_304	11	0	90	26	42
ASV_306	0	0	0	0	6
ASV_3069	0	61	0	0	0
ASV_307	18	0	0	0	0
ASV_312	0	0	0	47	0
ASV_3141	0	33	0	0	0
ASV_32	3	0	3	0	34
ASV_320	0	0	97	0	60
ASV_323	0	0	0	8	0
ASV_3245	0	19	0	0	0
ASV_326	0	0	33	0	0
ASV_327	0	0	0	0	7
ASV_329	23	0	0	0	0
ASV_33	71	2930	11	30	23
ASV_332	9	37	98	45	0
ASV_335	0	0	19	10	32
ASV_3355	0	0	0	2	0
ASV_336	0	0	26	0	30
ASV_337	138	0	0	22	27
ASV_338	0	0	61	0	0
ASV_344	0	0	0	26	137
ASV_350	19	0	23	5	0
ASV_3504	0	10	0	11	0
ASV_356	11	0	149	77	150
ASV_357	0	0	15	0	24
ASV_3597	44	0	518	187	265
ASV_36	16	0	11	0	0
ASV_360	46	3	194	504	1003
ASV_3600	44	0	361	0	16
ASV_3607	8	252	0	204	0
ASV_361	7	0	0	0	20
ASV_3613	4	0	8	0	10
ASV_3618	0	0	17	0	0
ASV_3621	0	0	0	0	4
ASV_3622	25	0	159	48	3
ASV_3630	0	0	0	0	28
ASV_3646	0	0	0	0	2
ASV_3650	0	21	0	15	0
ASV_3657	0	0	1	0	0
ASV_366	0	0	0	10	0
ASV_367	0	0	0	18	0
ASV_369	336	0	28	0	22
ASV_37	3	0	33	0	43
ASV_370	0	0	17	0	6
