	KP_Exp_8_D0_AVN2	KP_Exp_8_D0_OR_AVN2	KP_Exp_8_D8_AVN2
ASV_332	27	0	0
ASV_333	0	0	45
ASV_336	30	0	0
ASV_34	156	0	0
ASV_340	14	0	0
ASV_341	0	0	102
ASV_3429	0	3	0
ASV_343	0	0	39
ASV_345	0	0	31
ASV_35	305	0	0
ASV_350	26	0	0
ASV_3504	0	275	0
ASV_352	0	0	1079
ASV_355	0	0	44
ASV_357	7	0	0
ASV_358	0	0	18
ASV_3598	35	0	0
ASV_36	487	0	0
ASV_360	51	0	0
ASV_3606	1	0	0
ASV_3607	0	6299	0
ASV_3608	1228	2953	0
ASV_361	11	0	0
ASV_3610	1	0	0
ASV_362	0	0	16
ASV_3622	6	0	0
ASV_3631	15	0	0
ASV_364	7	0	0
ASV_3650	0	416	28
ASV_3659	0	416	0
ASV_368	0	0	55
ASV_37	43	0	0
ASV_370	101	0	0
ASV_371	7	0	0
ASV_3712	0	0	68
ASV_372	11	0	0
ASV_373	11	0	0
ASV_374	0	728	8
ASV_375	0	0	98
ASV_376	24	0	0
ASV_377	0	0	72
ASV_3797	0	597	0
ASV_38	212	0	0
ASV_381	39	0	0
ASV_384	0	0	42
ASV_385	10	0	0
ASV_3857	0	11	0
ASV_387	19	0	0
ASV_388	18	0	0
ASV_39	10	0	0
ASV_390	5	0	0
ASV_391	55	0	0
ASV_3913	4	0	20698
ASV_3914	129	0	0
ASV_3915	509	0	0
ASV_3918	49	0	0
ASV_3921	0	0	416
ASV_3931	33	0	0
ASV_394	24	0	0
ASV_3944	0	0	74
ASV_3953	0	0	51
ASV_396	91	888	0
ASV_397	0	0	58
ASV_3975	2	0	0
ASV_399	21	0	0
ASV_3992	1	0	0
ASV_3996	0	0	22
ASV_4	1642	823	0
ASV_401	0	0	71
ASV_402	0	0	41
ASV_4039	8	0	0
ASV_405	0	0	7
ASV_407	80	173	0
ASV_4084	0	0	15
ASV_41	0	2611	2124
ASV_410	0	0	38
ASV_411	5	0	0
ASV_413	0	0	84
ASV_4137	0	0	73
ASV_415	0	0	45
ASV_416	0	0	54
ASV_4160	0	0	34
ASV_417	0	0	18
ASV_418	0	0	29
ASV_419	0	0	49
ASV_42	135	0	0
ASV_421	0	0	27
ASV_424	0	0	28
ASV_425	6	0	0
ASV_428	0	0	75
ASV_4287	0	0	1
ASV_429	16	0	0
ASV_43	109	0	0
ASV_4332	0	0	5
ASV_436	0	0	36
ASV_4386	0	0	11
ASV_4389	0	0	8
ASV_4402	0	0	6
ASV_443	0	0	139
ASV_444	11	0	0
ASV_447	0	0	8
ASV_449	0	0	25
ASV_45	12	0	0
ASV_450	0	0	26
ASV_454	0	0	44
ASV_456	0	0	50
ASV_457	0	0	29
ASV_458	0	0	1581
ASV_459	0	0	12
ASV_46	77	0	0
ASV_460	35	0	0
ASV_4629	0	0	16
ASV_4647	0	0	44
ASV_466	14	0	0
ASV_467	0	159	0
ASV_468	29	0	0
ASV_47	66	0	0
ASV_4704	3	0	0
ASV_471	42	0	0
ASV_472	27	0	0
ASV_4754	0	0	19
ASV_476	24	0	0
ASV_477	8	0	0
ASV_478	0	0	66
ASV_479	0	0	15
ASV_48	220	0	0
ASV_481	11	0	0
ASV_482	13	0	0
ASV_4828	0	0	3
ASV_483	0	0	103
ASV_484	0	0	40
ASV_485	0	0	22
ASV_486	14	0	0
ASV_4889	0	0	7
ASV_489	0	0	4
ASV_4890	0	0	5
ASV_49	289	0	0
ASV_492	0	0	6
ASV_495	0	0	25
ASV_4980	0	0	4
ASV_5	1395	0	0
ASV_50	162	0	0
ASV_502	0	0	40
ASV_5021	0	0	11
ASV_505	97	0	0
ASV_507	0	0	56
ASV_509	0	0	23
ASV_51	407	0	0
ASV_514	0	0	77
ASV_52	678	781	0
ASV_520	6	0	0
ASV_521	0	0	18
ASV_523	0	0	21
ASV_527	0	0	39
ASV_528	0	0	64
ASV_53	0	9369	1205
ASV_530	0	0	35
ASV_534	94	0	0
ASV_537	0	0	33
ASV_5376	0	0	7
ASV_54	264	0	0
ASV_542	276	0	0
ASV_544	30	0	0
ASV_546	0	0	22
ASV_55	811	0	0
ASV_555	0	0	73
ASV_5610	0	2574	0
ASV_5611	8	0	0
ASV_5612	0	4302	0
ASV_5617	47	0	0
ASV_5619	0	3592	0
ASV_5620	0	3469	0
ASV_5623	0	2576	0
ASV_5624	0	0	12
ASV_5626	16	0	0
ASV_5627	0	1896	0
ASV_5628	18	0	0
ASV_563	0	0	59
ASV_5630	0	1709	0
ASV_5631	0	1673	0
ASV_5632	617	513	0
ASV_565	0	0	51
ASV_5667	0	948	0
ASV_5675	0	755	0
ASV_5682	0	193	0
ASV_5688	43	0	0
ASV_569	0	0	48
