	F_Day_0_DSS_B	O_Day_0_DSS_B	F_Day_3_DSS_B	F_Day_7_DSS_B	O_Day_7_DSS_B	O_Day_3_DSS_B
ASV_129	66	0	10	40	0	0
ASV_13	0	0	2	0	0	0
ASV_130	5	0	31	23	0	0
ASV_131	0	0	14	27	0	0
ASV_1318	0	0	0	0	0	1129
ASV_1364	0	0	0	35	0	0
ASV_137	7	0	4	0	0	0
ASV_1392	0	0	30	0	0	0
ASV_14	7	4234	4	6	912	7030
ASV_140	8	0	0	0	0	0
ASV_142	929	0	288	722	37	4
ASV_146	16	0	3	29	47	0
ASV_147	85	0	80	38	0	0
ASV_148	286	0	695	245	0	77
ASV_149	81	0	59	271	0	0
ASV_150	58	0	0	8	0	0
ASV_1527	5	0	0	0	0	0
ASV_158	46	0	0	0	0	0
ASV_161	0	0	22	0	0	0
ASV_162	0	0	0	321	0	0
ASV_164	11	0	0	0	0	0
ASV_1645	0	0	13	0	0	0
ASV_166	54	0	31	204	0	0
ASV_167	0	0	0	0	51	0
ASV_169	624	0	0	1038	0	0
ASV_1707	0	0	0	0	45	0
ASV_172	86	0	68	35	0	0
ASV_1737	0	0	0	3	0	0
ASV_174	5	0	0	0	0	0
ASV_175	9	0	45	76	0	0
ASV_178	0	0	28	14	0	0
ASV_182	552	0	96	1186	0	949
ASV_1823	0	672	0	0	354	2320
ASV_184	14	0	1885	181	0	0
ASV_187	0	0	0	93	449	0
ASV_188	247	0	6	6	0	0
ASV_189	0	0	35	322	0	0
ASV_1895	0	0	0	0	69	0
ASV_195	0	0	0	11	19	0
ASV_2	4161	67825	6	12	2009	82
ASV_2009	50	0	0	0	0	0
ASV_2065	0	0	0	3	0	0
ASV_2075	0	0	0	1	0	0
ASV_21	5550	17	240	1252	78	15
ASV_210	0	0	65	0	0	0
ASV_2109	0	1858	0	0	0	0
ASV_211	196	0	37	0	0	0
ASV_212	356	0	0	0	0	0
ASV_213	12	0	0	24	0	0
ASV_216	22	0	0	3	0	0
ASV_22	10	0	0	0	0	0
ASV_220	75	0	0	11	48	0
ASV_223	0	0	0	16	0	0
ASV_224	141	0	0	0	0	0
ASV_225	130	0	58	311	0	0
ASV_226	13	0	0	0	0	0
ASV_228	491	0	11	0	0	602
ASV_2309	0	0	1	8	0	0
ASV_231	32	0	46	30	31	0
ASV_232	106	0	115	22	0	0
ASV_2329	0	0	0	0	83	0
ASV_233	48	0	5	0	0	0
ASV_234	8	0	0	0	0	0
ASV_237	299	0	139	17	0	0
ASV_238	37	0	0	0	0	0
ASV_240	0	0	9	17	0	0
ASV_241	18	0	31	33	0	0
ASV_242	0	0	0	0	0	382
ASV_2420	0	0	0	0	0	402
ASV_247	25	0	0	0	0	0
ASV_248	0	0	16	25	0	0
ASV_25	1587	0	273	267	47	0
ASV_251	21	0	0	44	0	0
ASV_252	3	0	6	4	0	0
ASV_253	0	0	36	63	0	6
ASV_256	65	0	0	0	0	0
ASV_259	0	40	0	0	0	0
ASV_2598	0	383	0	0	60	316
ASV_26	283	0	60	2113	421	0
ASV_262	3	0	0	8	0	0
ASV_263	51	0	0	0	0	0
ASV_2639	3	80	0	0	0	0
ASV_266	166	0	124	514	0	85
ASV_269	0	0	0	96	725	374
ASV_27	42	0	32	19	0	250
ASV_271	0	0	0	0	13	0
ASV_274	47	0	0	0	0	0
ASV_276	0	0	0	0	10	0
ASV_277	4	0	0	10	0	0
ASV_2777	0	0	0	25	0	0
ASV_278	20	0	0	0	0	0
ASV_280	132	0	0	78	9	0
ASV_281	82	0	300	62	0	0
ASV_283	12	0	0	10	60	59
ASV_285	0	8198	0	0	178	0
ASV_2867	0	272	0	0	0	0
ASV_288	8	0	68	0	0	0
ASV_29	18	0	0	0	0	0
ASV_292	86	0	8	48	30	0
ASV_296	72	0	0	0	0	0
ASV_30	1015	0	1029	933	87	4
ASV_3007	3	0	0	0	0	0
ASV_304	58	0	21	33	0	0
ASV_306	38	0	0	0	0	0
ASV_31	38	0	0	0	0	0
ASV_32	0	0	0	29	375	0
ASV_320	53	0	12	94	0	0
ASV_3253	0	0	0	21	0	0
ASV_326	0	0	0	0	100	0
ASV_327	0	0	4	6	0	0
ASV_33	46	2081	52	30	2022	13
ASV_332	0	0	16	197	169	0
ASV_335	78	0	0	64	0	0
ASV_336	24	0	0	0	0	0
ASV_337	0	0	9	68	0	0
ASV_3372	749	295	0	52	0	0
ASV_342	12	0	0	0	0	0
ASV_344	26	0	0	40	17	0
ASV_346	0	0	26	25	0	0
ASV_350	31	0	0	0	0	0
ASV_356	0	0	114	580	0	0
ASV_3597	264	0	30	545	0	0
ASV_36	48	0	0	3	0	0
ASV_360	449	0	16	25	8	0
ASV_3600	8	0	3	6	0	0
ASV_3607	0	2301	4	4	191	920
ASV_3608	0	0	0	0	75	0
ASV_361	17	0	0	0	0	0
ASV_3610	2	0	0	0	0	0
ASV_3618	0	0	0	2	0	0
ASV_3621	2	0	24	31	0	0
ASV_3622	69	0	0	0	0	0
ASV_3630	20	0	0	0	0	0
ASV_3631	0	0	1	1	0	0
ASV_3646	39	0	0	0	0	0
ASV_3650	11	8963	0	0	0	2219
ASV_3657	3	0	1	2	0	0
ASV_3659	0	899	0	0	44	0
ASV_369	22	0	114	44	0	0
ASV_37	17	0	0	0	0	0
ASV_370	131	0	0	16	0	0
ASV_3703	4	0	0	2	0	0
ASV_371	7	0	0	9	0	0
ASV_3718	1431	0	40	71	0	0
ASV_372	0	0	0	71	0	0
ASV_3739	3	0	0	0	50	0
ASV_374	0	22	0	0	33	0
ASV_3750	0	0	0	1	0	0
ASV_3785	0	19	0	0	0	0
ASV_3797	0	127	0	0	0	0
ASV_380	72	0	0	744	0	0
ASV_385	0	0	0	6	0	0
ASV_389	0	0	0	47	353	56
ASV_39	15	0	0	15	0	0
ASV_390	0	0	0	0	21	0
ASV_391	0	0	0	20	0	0
ASV_3913	0	0	0	0	39	0
ASV_3918	29	0	3	14	22	0
ASV_3960	302	0	1087	495	0	0
ASV_3974	0	0	0	0	1	0
ASV_3987	514	821	3	261	341	0
ASV_399	12	0	0	0	0	0
ASV_3999	0	0	0	0	0	79
ASV_4	49376	29791	12187	21531	4178	116
ASV_40	449	0	21	14	0	0
ASV_400	12	0	0	0	0	0
ASV_4018	261	0	0	0	0	0
ASV_4032	96	162	0	100	0	0
ASV_4079	0	0	0	0	59	0
ASV_409	75	0	59	0	9	0
ASV_41	0	0	0	0	58	1104
ASV_413	0	0	0	0	11	0
ASV_4174	8	0	0	0	0	0
ASV_4181	0	0	0	0	164	0
ASV_42	166	0	0	0	0	0
ASV_43	50	0	0	0	0	0
ASV_432	0	0	7	0	0	0
ASV_439	35	0	3	0	28	0
ASV_4434	9	64	0	0	0	0
ASV_4458	7	0	0	0	0	0
ASV_45	50	0	3	1008	172	0
ASV_454	0	138	0	0	0	336
ASV_46	54	0	12	245	39	0
ASV_460	31	0	241	56	0	0
ASV_461	15	0	0	0	0	0
ASV_462	0	0	0	20	357	0
ASV_4620	5	0	1	7	0	0
ASV_466	0	0	4	0	0	0
ASV_467	0	0	0	0	10	0
ASV_47	5	0	0	0	0	0
ASV_471	537	144	144	399	47	592
ASV_473	0	0	0	0	40	0
ASV_48	4289	5	111	426	0	0
ASV_481	0	0	69	23	0	0
ASV_488	0	327	0	0	301	3
ASV_4893	0	57	0	0	0	0
ASV_49	137	673	0	0	0	0
ASV_4964	0	13	0	0	0	22
ASV_4994	0	0	42	670	1584	1
ASV_50	15	10	66	640	11	0
ASV_505	22	0	26	181	48	0
ASV_511	66	0	14	46	0	0
ASV_519	12	0	54	46	0	0
ASV_528	0	27	0	0	0	0
ASV_5292	1	0	0	0	0	0
ASV_53	0	20725	0	0	1094	884
ASV_534	62	194	0	0	0	0
ASV_54	254	995	69	340	0	0
ASV_544	0	0	9	2	0	0
ASV_55	553	0	0	0	0	0
ASV_5599	0	0	530	0	0	0
ASV_5600	0	0	103	0	8	0
ASV_5602	0	0	13	0	0	0
ASV_5605	0	0	38	0	0	0
ASV_5606	7	0	638	11	0	0
ASV_5608	0	0	369	0	21	0
ASV_5619	0	126	0	0	0	0
ASV_564	20	0	0	5	0	0
ASV_566	0	0	6	7	0	0
ASV_567	30	0	131	272	0	0
ASV_5675	0	0	0	0	0	254
ASV_568	64	0	0	20	0	0
ASV_57	134	0	0	0	0	0
ASV_572	33	0	9	0	0	0
ASV_5747	0	0	0	0	19	0
ASV_5772	0	2008	0	0	0	0
ASV_578	84	103	0	0	0	0
ASV_580	14	0	0	0	0	0
ASV_585	84	0	33	437	0	0
ASV_5888	0	0	0	0	6	0
ASV_5928	0	0	0	0	0	667
ASV_595	0	718	0	0	0	0
ASV_5986	1	0	0	0	0	0
ASV_60	15	0	2	20	38	0
ASV_6011	0	74	0	0	23	431
ASV_602	0	8	0	0	0	0
ASV_604	27	0	77	21	0	0
ASV_6045	0	0	0	0	0	747
ASV_6069	0	0	0	0	67	0
ASV_6109	19	0	11	11	0	0
ASV_6137	0	0	0	0	18	61
ASV_6144	0	0	0	0	17	0
ASV_6180	0	0	0	0	0	173
ASV_6209	0	0	0	0	0	87
ASV_64	68	0	0	23	0	0
ASV_647	27	0	0	0	0	0
ASV_65	24	0	0	0	0	0
ASV_652	4	0	0	0	0	0
ASV_656	0	92	0	0	24	65
ASV_658	78	0	21	208	0	0
ASV_659	0	3	0	0	0	0
ASV_661	0	0	0	0	0	455
ASV_663	0	0	0	55	0	0
ASV_6657	0	18	0	0	0	0
ASV_6812	0	0	0	0	3	0
ASV_6822	0	0	0	0	78	0
ASV_6828	0	41	0	0	0	0
ASV_684	0	0	10	0	0	0
ASV_6856	0	4	0	0	0	0
ASV_6863	0	108	0	0	2	12
ASV_69	19	0	10	0	0	0
ASV_6990	0	0	0	0	33	0
ASV_7	4573	5920	1228	691	2240	105
ASV_70	27	0	37	69	0	0
ASV_7050	0	0	0	0	18	0
ASV_706	0	0	0	12	0	0
ASV_71	215	0	2	75	131	0
ASV_7116	0	0	0	0	0	91
ASV_712	0	0	0	4	0	0
ASV_719	19	0	9	13	29	0
ASV_721	0	0	0	56	0	0
ASV_7220	0	474	0	0	0	0
ASV_7239	0	11	0	0	0	0
ASV_73	0	0	0	0	0	255
ASV_7301	0	699	0	0	114	0
ASV_736	0	29080	0	0	0	0
ASV_737	0	0	0	7	0	0
ASV_7395	0	103	0	0	0	0
ASV_74	0	0	0	476	0	0
ASV_7436	0	0	0	0	2	0
ASV_7453	0	0	0	0	0	13
ASV_7463	0	145	0	0	0	0
ASV_7471	0	58	0	0	0	0
ASV_750	58	0	20	13	0	0
ASV_756	7	0	0	23	0	0
ASV_76	491	0	0	6	0	0
ASV_7615	0	19	0	0	0	0
ASV_765	24	0	0	0	0	0
ASV_7654	0	4	0	0	0	0
ASV_7663	0	12	0	0	25	0
ASV_77	0	0	0	6	0	0
ASV_772	2	0	0	0	0	0
ASV_7763	607	0	0	0	0	0
ASV_7765	112	0	7	6	7	0
ASV_7766	16154	9808	3660	4845	1241	108
ASV_7767	652	0	0	23	0	0
ASV_7779	181	0	237	1409	72	0
ASV_779	48	0	0	0	0	0
ASV_7792	60	29	0	0	0	0
ASV_7794	0	0	0	2	0	0
ASV_7798	5	0	0	4	0	0
ASV_7813	0	0	3	0	50	0
ASV_782	4	68295	0	0	0	152
ASV_7837	5	0	0	0	0	0
ASV_7839	0	0	0	5	0	0
ASV_7870	70	0	0	0	0	0
ASV_79	80	0	0	13	0	0
ASV_7916	0	0	1	0	3	0
ASV_7918	22	0	0	0	0	0
ASV_80	99	0	15	91	0	0
ASV_804	0	0	15	98	0	0
ASV_8074	8	0	0	0	0	0
ASV_8100	0	0	0	79	0	0
ASV_8118	0	0	0	7	0	0
ASV_812	0	0	0	7	0	0
ASV_816	94	0	28	0	0	0
ASV_8229	0	0	7	0	0	0
ASV_829	18	0	19	42	0	0
ASV_830	0	0	0	2	0	0
ASV_832	0	0	0	0	0	10
ASV_835	45	0	24	43	0	0
ASV_8391	1	0	0	5	0	0
ASV_8425	0	0	0	1	0	0
ASV_8520	6	0	0	7	0	0
ASV_8521	0	0	0	3	0	0
ASV_86	5855	735	19352	33953	9998	1204
ASV_868	0	0	0	0	0	248
ASV_87	175	0	111	96	50	0
ASV_8764	4	0	0	0	0	0
ASV_879	0	0	0	7	0	0
