	F_Day_0_Abx_C	O_Day_0_Abx_C	F_Day_3_Abx_C	O_Day_3_Abx_C
ASV_1814	0	0	0	49
ASV_182	453	0	436	5
ASV_1823	0	4270	444	1419
ASV_184	252	0	549	51
ASV_186	24	0	130	0
ASV_187	0	1417	151	276
ASV_188	64	0	0	0
ASV_1899	0	0	170	0
ASV_1903	0	0	141	0
ASV_191	25	0	0	0
ASV_1930	6	0	0	0
ASV_2	483	3232	16610	616
ASV_2009	0	0	323	53
ASV_2012	0	0	150	0
ASV_203	0	0	0	32
ASV_2065	14	0	0	0
ASV_2082	0	0	0	9
ASV_21	44	0	4802	145
ASV_210	0	0	12	0
ASV_2109	0	0	329	85
ASV_211	3491	0	14	0
ASV_212	91	0	96	0
ASV_213	3	0	32	0
ASV_2130	0	0	7	0
ASV_215	0	0	0	23
ASV_216	176	0	218	0
ASV_22	179	0	0	0
ASV_223	29	0	0	0
ASV_224	47	0	659	81
ASV_225	122	0	307	0
ASV_226	0	152	187	0
ASV_228	182	0	364	21
ASV_2309	0	0	17	0
ASV_231	0	0	213	0
ASV_232	295	0	12	0
ASV_233	0	0	114	0
ASV_234	0	0	74	0
ASV_235	22	0	0	0
ASV_237	427	0	475	0
ASV_238	10	0	0	0
ASV_24	0	135	0	0
ASV_240	26	0	185	0
ASV_241	30	0	0	0
ASV_242	0	0	0	57
ASV_247	0	0	95	0
ASV_248	0	0	135	0
ASV_25	2561	0	2493	0
ASV_251	3	0	0	0
ASV_252	9	0	9	0
ASV_253	0	0	390	0
ASV_2533	3	0	0	0
ASV_257	0	0	0	7
ASV_2598	0	15	0	289
ASV_26	167	0	1087	170
ASV_2639	18	0	88	0
ASV_264	55	0	359	0
ASV_266	284	0	1682	19
ASV_2673	0	0	0	3
ASV_269	0	1762	394	265
ASV_27	2276	0	3042	0
ASV_272	4	0	0	23
ASV_273	0	0	0	12
ASV_274	31	0	385	0
ASV_277	31	0	0	0
ASV_2777	686	0	0	0
ASV_278	22	0	267	0
ASV_2787	48	0	0	0
ASV_2791	0	0	100	0
ASV_280	0	0	365	0
ASV_281	4	0	306	0
ASV_283	230	0	103	0
ASV_284	0	0	0	19
ASV_285	0	0	0	6
ASV_2867	0	0	0	52
ASV_288	16	0	0	0
ASV_29	4	0	0	0
ASV_292	3	0	743	0
ASV_2942	156	0	0	0
ASV_296	28	0	0	0
ASV_299	11	0	0	0
ASV_30	1829	0	519	118
ASV_300	0	0	39	0
ASV_3007	2	0	3	0
ASV_304	71	0	0	0
ASV_3069	0	0	0	46
ASV_31	461	0	144	0
ASV_3100	4	0	0	0
ASV_315	0	0	0	26
ASV_32	0	0	0	10
ASV_320	149	0	5	0
ASV_3245	0	0	0	27
ASV_3253	4	0	56	0
ASV_326	0	0	0	179
ASV_327	10	0	0	0
ASV_33	16	14152	144	18
ASV_332	60	301	308	0
ASV_335	22	0	43	0
ASV_3355	0	0	0	5
ASV_336	65	0	0	0
ASV_3363	0	0	0	32
ASV_337	246	0	0	0
ASV_3372	0	0	266	0
ASV_338	0	0	135	0
ASV_3381	0	0	0	37
ASV_344	0	0	818	0
ASV_348	0	0	0	41
ASV_356	18	0	324	0
ASV_357	16	0	0	0
ASV_3597	543	0	568	0
ASV_36	93	0	39	32
ASV_360	26	0	789	0
ASV_3600	181	0	0	0
