	F_Day_0_Abx_A	O_Day_0_Abx_A	O_Day_7_Abx_A	F_Day_3_Abx_A	F_Day_7_Abx_A	O_Day_3_Abx_A
ASV_11362	0	0	0	11	0	0
ASV_11363	0	0	0	24	0	0
ASV_11364	0	0	0	11	0	0
ASV_11365	0	0	0	17	0	0
ASV_11376	0	0	3	0	0	0
ASV_1138	14	0	3	43	13	0
ASV_11411	28	0	0	0	0	0
ASV_11412	0	0	0	14	0	0
ASV_11413	0	0	0	10	0	0
ASV_11414	0	3	0	11	0	0
ASV_11447	0	0	0	0	6	0
ASV_11455	0	0	0	16	0	0
ASV_115	840	0	0	1299	0	0
ASV_11503	0	19	9	0	0	0
ASV_11517	0	0	0	16	0	0
ASV_11518	0	0	0	18	0	0
ASV_11526	0	8	0	0	0	0
ASV_11570	0	0	0	0	3	0
ASV_11572	0	0	0	16	0	0
ASV_11573	0	0	0	17	0	0
ASV_11574	0	0	0	11	0	0
ASV_11584	0	14	0	0	0	0
ASV_116	1935	0	0	70	42	0
ASV_11624	0	0	0	11	0	0
ASV_11639	0	8	0	0	0	0
ASV_11640	0	6	0	0	0	0
ASV_1169	0	0	0	2	0	0
ASV_11691	5	0	0	0	0	0
ASV_11692	5	0	0	0	0	0
ASV_11695	0	0	0	14	0	0
ASV_117	175	0	0	76	0	0
ASV_11707	0	0	0	0	2	0
ASV_11728	0	0	0	0	0	5
ASV_11756	0	0	5	0	0	0
ASV_1178	0	18	0	0	0	0
ASV_11784	0	0	0	0	4	0
ASV_11791	0	4	0	0	0	0
ASV_118	0	0	5	47	0	7
ASV_11813	0	0	0	0	0	9
ASV_11837	0	0	8	0	0	0
ASV_11856	0	0	0	3	0	0
ASV_11867	0	0	0	0	3	0
ASV_11868	0	0	0	0	3	0
ASV_11869	0	0	0	0	3	0
ASV_11870	0	0	0	0	3	0
ASV_11878	0	5	0	0	0	0
ASV_11879	0	3	0	0	0	0
ASV_11897	0	0	0	0	0	3
ASV_119	109	0	5	2680	274	0
ASV_11911	0	0	5	0	0	0
ASV_11912	0	0	3	0	0	0
ASV_1193	0	0	0	20	0	0
ASV_11938	2	0	0	0	0	0
ASV_11939	2	0	0	0	0	0
ASV_11956	0	0	0	0	2	0
ASV_11957	0	0	0	0	5	0
ASV_11967	0	2	0	0	0	0
ASV_1197	0	0	0	14	0	0
ASV_11990	0	0	2	0	0	0
ASV_11991	0	0	2	0	0	0
ASV_11992	0	0	2	0	0	0
ASV_12021	0	0	0	0	1	0
ASV_12030	0	0	0	0	0	1
ASV_12043	0	0	0	1	0	0
ASV_12046	0	0	0	44	0	0
ASV_12048	0	0	0	36	0	0
ASV_12054	4	0	0	0	0	0
ASV_12069	18	0	0	0	0	0
ASV_12080	0	0	0	0	0	14
ASV_12086	0	0	0	13	0	0
ASV_121	6	0	0	180	173	0
ASV_1212	0	738	17	61	0	22
ASV_12131	0	0	7	0	0	0
ASV_12134	0	0	0	6	0	0
ASV_12142	0	0	0	5	0	0
ASV_12147	0	0	0	0	5	0
ASV_12164	0	0	0	0	4	0
ASV_12167	0	4	0	0	0	0
ASV_12168	0	4	0	0	0	0
ASV_12191	3	0	0	0	0	0
ASV_12192	3	0	0	0	0	0
ASV_12201	0	0	0	0	3	0
ASV_12203	0	3	0	0	0	0
ASV_12230	0	0	0	2	0	0
ASV_1225	0	0	0	2	8	0
ASV_12251	0	0	2	0	0	0
ASV_12261	1	0	0	0	0	0
ASV_12262	1	0	0	0	0	0
ASV_12263	1	0	0	0	0	0
ASV_123	3074	0	0	397	31	0
ASV_124	448	0	0	1834	75	0
ASV_1250	0	0	0	42	0	0
ASV_126	145	0	17	141	26	0
ASV_129	1220	0	0	1472	25	0
ASV_1296	4	0	0	2	0	0
ASV_13	16	0	0	3926	176	99
ASV_130	22	0	0	112	9	0
ASV_131	897	0	0	325	23	0
ASV_1312	96	0	0	131	0	0
ASV_1364	32	0	0	226	5	0
ASV_137	264	0	0	62	34	0
ASV_1392	532	0	0	0	0	0
ASV_14	71	5853	184	9628	473	591
ASV_140	0	0	0	96	0	0
ASV_141	134	0	0	0	0	0
ASV_142	36	0	28	10103	92	0
ASV_146	81	0	4	336	0	0
ASV_147	2000	0	0	1266	0	0
ASV_148	1604	0	0	2354	39	0
ASV_149	670	0	0	1454	54	0
ASV_150	61	0	0	1226	26	0
ASV_151	121	0	0	0	0	0
ASV_152	10	0	0	0	0	0
ASV_155	0	0	0	201	0	0
ASV_156	64	0	0	201	7	0
ASV_158	142	0	0	278	0	0
ASV_1597	0	27	0	0	0	0
ASV_161	89	0	0	246	37	0
ASV_1610	105	0	0	0	0	0
ASV_162	426	0	0	60	0	0
ASV_1626	0	0	0	57	0	0
ASV_163	0	0	0	0	16	0
ASV_164	139	0	0	0	0	0
ASV_1645	0	0	5	63	0	0
ASV_166	1532	0	0	1572	0	0
ASV_169	5098	0	0	4550	0	0
ASV_17	0	0	0	83	0	0
ASV_1709	0	19	9	0	0	0
ASV_172	1732	0	0	1078	69	0
ASV_1736	4	0	0	3	0	0
ASV_1737	0	0	0	9	0	0
ASV_175	110	0	0	215	0	0
ASV_178	53	0	0	69	0	0
ASV_1787	0	0	0	0	0	2
ASV_182	4595	0	41	4210	52	0
ASV_1823	3	4055	97	1909	28	203
ASV_184	10	0	13	196	26	0
ASV_185	0	0	0	494	0	0
ASV_186	942	0	0	36	0	0
ASV_187	0	0	0	497	0	0
ASV_188	311	0	0	132	0	0
ASV_189	0	0	0	169	60	0
ASV_1895	0	0	0	2	0	0
ASV_191	0	0	0	45	0	0
ASV_1912	0	0	0	73	0	0
ASV_195	0	0	0	28	0	0
ASV_2	4549	549	97	12788	205	176
ASV_200	0	0	0	123	0	0
ASV_2009	1398	0	0	84	11	0
ASV_2019	0	836	0	0	0	0
ASV_2065	49	0	0	0	0	0
ASV_2075	0	0	0	4	0	0
ASV_209	50	0	0	145	4	0
ASV_21	17272	405	13	22788	299	9
ASV_210	1422	0	0	345	0	0
ASV_2109	0	0	0	816	4	0
ASV_211	100	0	0	352	10	0
ASV_212	441	0	0	510	86	0
ASV_213	10	0	0	261	0	0
ASV_216	1309	0	0	2515	298	0
ASV_218	26	0	0	0	0	0
ASV_22	0	0	0	0	48	0
ASV_220	84	0	0	215	6	0
ASV_223	1104	0	0	20	14	0
ASV_224	418	0	0	1055	23	0
ASV_225	861	0	0	754	30	0
ASV_226	0	0	0	234	29	0
ASV_228	1867	0	0	1552	29	0
ASV_2309	2	0	0	0	9	0
ASV_231	79	0	0	1232	25	0
ASV_232	106	0	0	1057	67	0
ASV_233	201	0	0	269	6	0
ASV_234	0	0	7	127	0	0
ASV_237	1608	0	0	2255	88	0
ASV_238	182	0	0	289	0	0
ASV_239	17	0	0	0	0	0
ASV_24	0	0	0	73	5	0
ASV_240	40	0	0	38	4	0
ASV_241	0	0	0	472	43	0
ASV_242	0	0	0	317	0	0
ASV_2420	0	719	0	0	0	0
ASV_247	0	0	0	6	4	0
ASV_248	751	0	0	524	0	0
ASV_25	1166	0	11	17694	169	4
ASV_251	0	0	0	49	11	0
ASV_252	0	0	0	0	5	0
ASV_253	8	0	0	89	37	0
ASV_2535	0	0	0	42	0	0
ASV_2598	0	178	35	0	2	4
ASV_26	28081	0	0	954	84	0
ASV_262	0	0	3	0	0	0
ASV_263	0	0	0	27	9	0
ASV_2639	39	0	0	145	0	0
ASV_264	2371	0	0	264	0	0
ASV_266	1138	0	0	4635	150	0
ASV_2663	0	0	0	24	0	0
ASV_268	0	0	0	23	0	0
ASV_269	0	0	0	597	0	0
ASV_27	3203	0	0	1788	938	2
ASV_271	20	0	0	77	0	0
ASV_272	94	0	0	0	0	0
ASV_274	117	0	0	652	21	0
ASV_275	14	0	0	0	0	0
ASV_277	56	0	0	0	0	0
ASV_2777	67	0	0	79	0	0
ASV_278	1469	0	0	478	25	0
ASV_280	713	0	0	550	47	0
ASV_281	15433	4	0	126	83	0
ASV_283	3535	0	0	133	106	0
ASV_285	0	46	75	0	0	0
ASV_2867	0	0	13	0	0	0
ASV_288	444	0	0	185	0	0
ASV_289	26	0	0	0	0	0
ASV_2892	0	0	0	57	0	0
