	F_Day_0_Control_A	O_Day_0_Control_A	F_Day_7_Control_A	O_Day_7_Control_A	O_Day_3_Control_A	F_Day_3_Control_A
ASV_17	0	0	0	0	0	81
ASV_172	508	0	0	0	0	430
ASV_1736	4	0	0	0	0	3
ASV_1737	5	0	0	0	0	0
ASV_174	0	0	0	0	0	56
ASV_175	14	0	26	0	0	243
ASV_1759	0	0	0	5	0	0
ASV_178	311	0	24	0	0	141
ASV_181	0	0	0	13	0	0
ASV_1814	0	0	0	0	323	0
ASV_182	1122	2765	285	0	8	2772
ASV_1823	0	1679	2	25	3119	0
ASV_184	147	0	272	3	0	23
ASV_186	37	0	0	0	0	0
ASV_187	65	0	0	27	723	37
ASV_188	304	0	45	0	0	47
ASV_189	66	0	0	0	0	92
ASV_1895	0	0	0	6	0	0
ASV_191	0	0	9	0	161	13
ASV_1912	0	0	0	17	0	0
ASV_2	3467	44677	807	234	9422	760
ASV_2009	406	0	32	0	0	26
ASV_2038	0	0	0	8	0	0
ASV_2065	11	0	0	0	0	17
ASV_2075	1	0	0	0	0	1
ASV_209	21	0	16	0	0	59
ASV_21	4571	0	1997	8	862	7344
ASV_210	0	0	0	0	0	172
ASV_211	393	0	94	4	0	182
ASV_212	1223	0	88	0	0	139
ASV_213	107	0	13	0	0	41
ASV_216	862	0	241	0	0	1438
ASV_22	0	0	0	0	479	132
ASV_220	43	0	39	0	0	10
ASV_223	7	0	9	0	0	14
ASV_224	139	0	93	0	169	255
ASV_225	242	0	51	0	0	179
ASV_226	179	0	86	27	112	85
ASV_228	415	0	91	0	0	410
ASV_2309	2	0	0	0	0	1
ASV_231	26	0	132	0	163	297
ASV_232	754	0	160	0	0	505
ASV_233	33	0	35	0	0	67
ASV_234	0	0	0	0	0	22
ASV_237	868	0	210	0	0	966
ASV_238	51	0	20	0	0	63
ASV_24	0	0	0	11	0	0
ASV_240	0	0	10	0	0	20
ASV_241	44	0	34	0	0	276
ASV_247	12	0	7	0	0	0
ASV_248	66	0	11	0	0	191
ASV_249	6	0	0	0	0	0
ASV_25	3049	0	701	0	90	12406
ASV_251	68	0	26	0	350	14
ASV_252	5	0	0	0	0	0
ASV_253	0	0	102	0	0	6
ASV_2533	2	0	0	0	0	2
ASV_256	211	0	10	0	0	0
ASV_2598	0	3617	0	11	584	0
ASV_26	2561	0	526	0	0	582
ASV_262	0	0	0	6	0	0
ASV_2627	0	0	0	2	0	0
ASV_263	52	0	20	0	0	11
ASV_2639	10	0	7	0	0	75
ASV_264	184	1604	79	0	0	68
ASV_266	425	0	248	14	396	1570
ASV_269	134	0	25	0	419	84
ASV_27	1895	0	233	0	0	1340
ASV_271	6	0	0	0	0	0
ASV_274	133	0	107	0	180	128
ASV_277	63	0	0	0	0	65
ASV_2777	0	0	0	0	0	395
ASV_278	74	0	26	0	28	125
ASV_2787	96	0	0	0	0	90
ASV_280	45	0	46	33	442	14
ASV_281	921	0	42	0	0	48
ASV_283	265	0	9	0	0	64
ASV_285	0	51165	0	1205	694	0
ASV_288	0	0	0	0	0	120
ASV_292	147	0	31	0	0	152
ASV_2942	140	0	11	0	0	148
ASV_296	33	0	0	0	0	19
ASV_299	16	0	92	0	592	87
ASV_30	1417	0	445	5	867	2016
ASV_301	36	0	3	0	0	42
ASV_304	89	0	26	0	0	124
ASV_306	16	0	0	0	0	0
ASV_3087	0	0	0	2	0	0
ASV_31	43	0	0	0	0	77
ASV_320	44	0	62	0	0	192
ASV_323	0	0	0	0	0	67
ASV_327	24	0	5	0	0	53
ASV_33	53	97995	89	13010	5853	307
ASV_332	35	0	29	0	163	27
ASV_335	92	0	24	13	0	136
ASV_336	45	0	0	0	0	264
ASV_337	364	0	135	0	0	113
ASV_3372	638	0	366	9	285	1437
ASV_342	278	0	14	0	0	124
ASV_344	47	0	56	0	0	65
ASV_348	0	0	0	4	0	0
ASV_350	82	0	337	0	0	198
ASV_3542	0	0	2	0	0	0
ASV_356	108	0	34	0	0	498
ASV_357	9	0	0	0	0	55
ASV_358	0	0	0	7	0	0
ASV_3597	1125	0	0	0	0	114
ASV_36	200	0	185	0	28	228
ASV_360	287	0	250	14	541	478
ASV_3600	194	0	111	0	0	638
ASV_3607	0	0	6	62	0	0
ASV_361	5	0	6	0	0	20
ASV_3610	3	0	0	0	0	1
ASV_3618	0	0	0	0	0	4
ASV_3621	1	0	3	0	0	16
ASV_3622	343	0	124	0	0	220
ASV_3628	0	0	0	0	1090	0
ASV_3630	3	0	5	0	0	31
ASV_3631	0	0	0	0	0	3
ASV_3646	34	0	11	0	0	58
ASV_365	0	0	4	0	280	44
ASV_3650	0	1542	3	15	0	0
ASV_3657	2	0	0	0	0	2
ASV_3659	0	0	0	0	679	0
ASV_367	0	0	0	49	0	0
ASV_369	293	0	326	0	0	128
ASV_37	63	0	64	74	1727	221
ASV_370	65	0	9	0	0	4
ASV_3703	0	0	0	0	0	2
ASV_371	35	0	14	0	0	46
ASV_3715	2	0	3	0	0	0
ASV_3718	1037	0	664	0	0	2712
ASV_372	23	0	0	0	0	25
ASV_374	0	0	0	43	169	0
ASV_3763	0	0	0	61	0	0
ASV_3785	0	6920	0	0	0	0
ASV_3799	23	0	13	0	0	0
ASV_382	71	0	17	0	0	530
ASV_3842	0	0	0	0	263	0
ASV_385	0	0	0	0	0	56
ASV_389	91	0	0	0	0	31
ASV_3892	3	0	0	0	0	0
ASV_39	23	0	16	9	0	15
ASV_390	3	0	0	0	17	3
ASV_3918	153	0	40	0	0	38
ASV_3930	0	0	0	0	0	44
ASV_3941	0	0	0	0	0	62
ASV_3960	378	0	0	0	0	89
ASV_398	79	0	198	0	0	2849
ASV_3987	357	256	208	16	0	28
ASV_399	0	0	0	0	0	8
ASV_4	45799	21	19059	464	8301	27167
ASV_40	16	0	182	0	0	34
ASV_400	102	0	24	0	0	39
ASV_4018	122	0	45	0	356	208
ASV_4022	2	0	0	0	0	0
ASV_4029	0	0	0	0	13	0
ASV_4032	225	0	89	5	36	313
ASV_404	22	0	4	0	0	0
ASV_405	0	0	0	3	0	0
ASV_4056	0	0	0	8	0	0
ASV_409	426	0	126	0	0	94
ASV_41	0	432	0	161	0	0
ASV_410	0	0	0	6	0	0
ASV_4134	0	0	0	0	242	0
ASV_4162	0	0	0	0	0	8
ASV_4181	0	0	0	4	463	0
ASV_42	214	0	23	0	19	312
ASV_425	22	0	0	0	0	23
ASV_43	106	0	13	0	0	66
