	F_Day_0_Abx_D	O_Day_0_Abx_D	O_Day_7_Abx_D	F_Day_7_Abx_D	F_Day_3_Abx_D
ASV_223	11	0	0	0	0
ASV_224	1170	0	0	0	0
ASV_225	1238	0	0	0	0
ASV_226	535	0	0	0	6
ASV_228	1976	0	0	0	0
ASV_2309	1	0	0	0	0
ASV_231	15	0	14	0	0
ASV_2314	0	0	0	68	0
ASV_232	1745	0	0	0	0
ASV_233	163	0	0	0	0
ASV_237	2229	0	0	0	4
ASV_238	136	0	0	0	0
ASV_239	10	0	0	0	0
ASV_24	0	0	0	61	0
ASV_240	12	0	0	0	0
ASV_241	242	0	0	0	0
ASV_2420	0	11	0	0	0
ASV_247	305	0	0	0	0
ASV_248	200	0	0	0	0
ASV_25	4706	0	21	4	29
ASV_251	42	0	0	0	0
ASV_252	148	0	0	0	0
ASV_2533	9	0	0	0	0
ASV_256	419	0	0	0	0
ASV_2598	0	48	62	0	0
ASV_26	3884	0	0	0	0
ASV_263	80	0	0	0	0
ASV_2639	12	0	0	0	0
ASV_264	507	7	0	0	0
ASV_266	1926	0	0	0	0
ASV_269	250	0	0	0	0
ASV_27	5945	0	0	12	35
ASV_271	32	0	0	0	0
ASV_272	28	0	0	0	0
ASV_274	33	0	0	0	4
ASV_275	51	0	0	0	0
ASV_277	169	0	0	0	0
ASV_2777	228	0	0	0	0
ASV_278	224	0	0	0	0
ASV_2787	405	0	0	0	0
ASV_280	143	0	0	0	0
ASV_281	5733	0	0	0	0
ASV_282	0	6	0	0	0
ASV_283	1965	0	0	0	10
ASV_288	107	0	0	0	0
ASV_29	56	0	0	0	0
ASV_292	291	0	0	0	0
ASV_2942	18	0	0	0	0
ASV_296	413	0	0	0	0
ASV_299	25	0	0	0	0
ASV_30	11765	7	0	0	36
ASV_300	0	6	0	0	0
ASV_301	153	0	0	0	0
ASV_304	723	0	0	0	0
ASV_31	1585	0	0	0	0
ASV_312	43	0	0	0	0
ASV_316	0	0	0	21	0
ASV_32	13	0	0	0	0
ASV_320	1137	0	0	0	6
ASV_323	18	0	0	0	0
ASV_326	150	0	0	0	0
ASV_327	84	0	0	0	0
ASV_33	117	0	0	0	8
ASV_332	34	0	0	0	0
ASV_335	390	0	0	0	0
ASV_336	351	0	0	0	0
ASV_337	363	0	0	0	3
ASV_3372	3103	0	0	0	0
ASV_340	27	0	0	0	0
ASV_342	274	0	0	0	0
ASV_344	166	0	0	0	0
ASV_346	3	0	0	0	0
ASV_356	310	0	0	0	4
ASV_357	148	0	0	0	0
ASV_3597	4710	0	0	0	4
ASV_36	263	0	0	0	0
ASV_360	915	0	0	0	8
ASV_3600	362	0	0	0	0
ASV_3607	0	36	55	146	0
ASV_361	327	0	0	0	0
ASV_3610	2	0	0	0	0
ASV_3618	7	0	0	0	0
ASV_3621	53	0	0	0	0
ASV_3622	140	0	0	0	0
ASV_3630	2	0	0	0	16
ASV_3631	2	0	0	0	0
ASV_3646	58	0	0	0	0
ASV_365	96	0	0	0	0
ASV_3650	0	38	69	557	0
ASV_367	0	17	0	0	0
ASV_369	889	0	0	0	8
ASV_37	179	0	0	0	0
ASV_370	131	0	0	0	0
ASV_3703	2	0	0	0	0
ASV_371	55	0	0	0	0
ASV_3715	2	0	0	0	0
ASV_3718	5255	0	0	0	0
ASV_372	66	0	0	0	0
ASV_3739	0	0	57	0	0
ASV_374	0	11	0	0	0
ASV_3799	127	0	0	0	0
ASV_382	171	0	0	0	0
ASV_385	35	0	0	0	0
ASV_387	135	0	0	0	0
ASV_389	151	0	0	0	0
ASV_39	7	0	0	0	0
ASV_390	14	0	0	0	0
ASV_391	51	0	0	0	0
ASV_3913	0	0	0	85	0
ASV_3918	126	0	0	0	0
ASV_3930	152	0	0	0	0
ASV_3941	146	0	0	0	0
ASV_3960	1075	0	0	0	4
ASV_3975	3	0	0	0	0
ASV_398	120	0	0	0	3
ASV_3987	569	15	0	0	6
ASV_4	80898	97	198	113	392
ASV_40	513	0	0	0	5
ASV_400	245	0	0	0	0
ASV_4018	931	0	0	0	0
ASV_4022	5	0	0	0	0
ASV_403	0	8	0	0	0
ASV_4050	0	0	10	0	0
ASV_408	342	0	0	0	0
ASV_409	1264	0	0	0	0
ASV_41	0	94	0	246	0
ASV_417	0	0	0	71	0
ASV_42	2420	0	0	0	0
ASV_421	3	0	0	0	0
ASV_425	76	0	0	0	0
ASV_43	248	0	0	0	0
ASV_433	45	0	0	0	0
ASV_436	0	18	0	0	0
ASV_4386	10	0	0	0	0
ASV_439	424	0	0	0	53
ASV_441	76	0	0	0	0
ASV_4434	386	5	0	0	0
ASV_445	29	0	0	0	0
ASV_4458	167	0	0	0	0
ASV_45	120	0	0	0	0
ASV_453	51	0	0	0	0
ASV_4583	0	5	0	0	0
ASV_46	1647	0	0	0	0
ASV_460	111	0	0	2	2
ASV_461	86	0	0	0	0
ASV_462	128	0	0	0	0
ASV_4620	5	0	0	3	0
ASV_466	93	0	0	0	0
ASV_467	4	0	22	0	0
ASV_47	114	0	0	0	0
ASV_471	558	0	2	61	13
ASV_477	45	0	0	0	0
ASV_48	12914	5	57	0	22
ASV_481	987	0	0	0	16
ASV_486	145	0	0	0	0
ASV_488	0	0	198	160	0
ASV_49	115	0	0	0	0
ASV_4994	0	0	0	5	0
ASV_50	193	0	0	2	18
ASV_505	388	0	0	0	0
ASV_506	94	0	0	0	0
ASV_511	494	0	0	0	0
ASV_518	0	0	0	0	8
ASV_519	196	0	0	0	0
ASV_5292	2	0	0	0	0
ASV_53	0	229	0	0	0
ASV_530	0	2	0	0	0
ASV_534	88	0	0	0	0
ASV_539	265	0	0	0	0
ASV_54	2777	0	0	0	0
ASV_544	241	0	0	0	0
ASV_547	174	0	0	0	0
ASV_55	242	0	0	0	0
ASV_552	251	0	0	0	0
ASV_5599	19	0	0	0	0
ASV_5600	13	0	0	0	0
ASV_5606	43	0	0	2	0
ASV_5608	13	0	0	0	0
ASV_564	83	0	0	0	0
ASV_566	241	0	0	0	0
ASV_567	365	0	0	0	0
ASV_568	694	0	0	0	0
ASV_5682	0	25	0	0	0
ASV_57	121	0	0	0	0
ASV_571	7	0	0	0	0
ASV_5711	4	0	0	0	0
ASV_572	235	0	0	0	0
ASV_5760	8	0	0	0	0
ASV_578	6650	0	0	0	0
ASV_580	409	0	0	0	0
ASV_585	451	0	0	0	3
ASV_593	27	0	0	0	0
ASV_5950	76	0	0	0	0
ASV_596	71	0	0	0	0
ASV_5966	0	0	0	18	0
ASV_597	99	0	0	0	0
ASV_5986	2	0	0	0	0
ASV_60	6	0	0	0	2
ASV_6011	0	62	2	5	0
ASV_604	488	0	0	0	0
ASV_6045	0	0	29	223	0
ASV_6069	0	3	0	20	0
ASV_6074	0	0	0	97	0
ASV_609	40	0	0	0	0
ASV_6109	9	0	0	0	0
ASV_6118	0	4	49	0	0
ASV_612	150	0	0	0	0
ASV_6143	0	0	2	0	0
ASV_6182	0	0	0	12	0
ASV_633	51	0	0	0	0
ASV_64	227	0	0	0	0
ASV_647	166	0	0	0	0
ASV_648	36	0	0	0	0
ASV_65	210	0	0	0	0
ASV_652	58	0	0	0	0
ASV_654	130	0	0	0	0
ASV_655	167	0	0	0	0
ASV_658	821	0	0	0	0
ASV_660	0	0	0	97	0
ASV_661	0	24	0	0	0
ASV_663	101	0	0	0	0
ASV_67	596	18	0	0	0
ASV_6745	0	8	0	0	0
ASV_6828	0	6	0	0	0
ASV_684	69	0	0	0	0
ASV_6856	0	15	0	0	0
ASV_6863	0	25	11	1123	0
ASV_69	855	0	0	0	0
ASV_7	1069	25	0	277	32
ASV_70	3359	0	0	0	0
ASV_706	144	0	0	0	0
ASV_71	624	4	0	0	8
ASV_711	40	0	0	0	0
ASV_713	10	0	0	0	0
ASV_714	0	3	0	0	0
ASV_719	24	0	0	0	0
ASV_721	237	0	0	0	0
ASV_7233	0	0	32	0	0
ASV_729	51	0	0	0	0
ASV_73	0	0	0	129	0
ASV_730	7	0	0	0	0
ASV_7301	0	0	0	269	0
ASV_737	35	0	0	0	0
ASV_7395	0	0	42	0	0
ASV_74	102	0	0	0	0
ASV_740	152	0	0	0	0
ASV_7436	0	0	0	3	0
ASV_7463	0	2	0	0	0
ASV_75	0	16	0	0	0
ASV_750	327	0	0	0	0
ASV_756	576	0	0	0	0
ASV_76	1038	0	0	0	0
ASV_765	5	0	0	0	0
ASV_77	180	0	0	0	0
ASV_7763	1006	0	0	87	0
ASV_7766	19737	0	65	49	143
ASV_7767	2450	0	9	0	0
ASV_7779	365	0	0	0	31
ASV_779	80	0	0	3	3
ASV_7792	95	0	0	0	0
ASV_7798	45	0	0	0	0
ASV_7799	159	0	0	0	0
