	F_Day_0_Control_C	O_Day_0_Control_C	F_Day_7_Control_C	O_Day_7_Control_C	O_Day_3_Control_C	F_Day_3_Control_C
ASV_11474	0	15	0	0	0	0
ASV_11476	0	9	0	0	0	0
ASV_11477	0	14	0	0	0	0
ASV_1148	0	0	6	0	43	0
ASV_11496	0	0	0	0	17	0
ASV_11497	0	0	0	0	9	0
ASV_11498	0	0	0	0	14	0
ASV_11499	0	0	0	0	20	0
ASV_115	158	0	54	0	0	925
ASV_11500	0	0	0	0	9	0
ASV_11540	0	12	0	0	0	0
ASV_11542	0	12	0	0	0	0
ASV_11543	0	8	0	0	0	0
ASV_11552	0	0	0	0	12	0
ASV_11554	0	0	0	0	18	0
ASV_11555	0	0	0	0	8	0
ASV_11583	0	0	7	0	0	0
ASV_11587	0	11	0	0	0	0
ASV_11588	0	11	0	0	0	0
ASV_11589	0	9	0	0	0	0
ASV_116	88	0	0	0	0	0
ASV_11603	0	0	0	0	7	0
ASV_11604	0	0	0	0	12	0
ASV_11605	0	0	0	0	10	0
ASV_11606	0	0	0	0	10	0
ASV_11607	0	0	0	0	13	0
ASV_11623	1	0	1	0	0	1
ASV_11633	0	0	0	0	0	6
ASV_11650	0	9	0	0	0	0
ASV_11651	0	12	0	0	0	0
ASV_11652	0	12	0	0	0	0
ASV_11653	0	10	0	0	0	0
ASV_11654	0	12	0	0	0	0
ASV_11655	0	9	0	0	0	0
ASV_11667	0	0	0	0	14	0
ASV_11668	0	0	0	0	13	0
ASV_11669	0	0	0	0	6	0
ASV_11670	0	0	0	0	14	0
ASV_11671	0	0	0	0	6	0
ASV_11672	0	0	0	0	11	0
ASV_11673	0	0	0	0	12	0
ASV_1169	2	0	0	0	0	5
ASV_11705	0	0	0	0	0	5
ASV_11719	0	5	0	0	0	0
ASV_11720	0	11	0	0	0	0
ASV_11742	0	0	0	0	5	0
ASV_11744	0	0	0	0	5	0
ASV_11745	0	0	0	0	5	0
ASV_11746	0	0	0	0	5	0
ASV_11747	0	0	0	0	5	0
ASV_11749	0	0	0	0	23	0
ASV_11764	0	0	0	5	0	0
ASV_118	0	49	0	355	24	0
ASV_11802	0	4	0	0	0	0
ASV_11804	0	4	0	0	0	0
ASV_11828	0	0	0	0	4	0
ASV_11830	0	0	0	0	4	0
ASV_11831	0	0	0	0	11	0
ASV_11832	0	0	0	0	8	0
ASV_11833	0	0	0	0	11	0
ASV_1185	0	0	0	0	18	0
ASV_11865	0	0	0	0	0	3
ASV_11877	1	0	0	0	0	0
ASV_11891	0	3	0	0	0	0
ASV_11892	0	3	0	0	0	0
ASV_11893	0	3	0	0	0	0
ASV_119	52	0	59	880	0	530
ASV_11905	0	0	0	0	3	0
ASV_11906	0	0	0	0	3	0
ASV_11954	0	0	0	0	0	2
ASV_11955	0	0	0	0	0	2
ASV_11974	0	5	0	0	0	0
ASV_11975	0	2	0	0	0	0
ASV_11985	0	0	0	0	8	0
ASV_12000	0	0	0	2	0	0
ASV_12001	0	0	0	2	0	0
ASV_12002	0	0	0	2	0	0
ASV_12011	1	0	0	0	0	0
ASV_1205	0	21	0	0	0	0
ASV_12062	0	0	0	0	21	0
ASV_12072	0	0	0	0	17	0
ASV_1208	0	59	0	0	0	0
ASV_12082	0	0	0	0	14	0
ASV_12083	0	0	0	0	14	0
ASV_12089	0	13	0	0	0	0
ASV_121	33	0	150	0	0	1226
