Group,Seed,Fold,ThresOral,ThresDensity,Precision,Recall,F1,Accuracy
Allo-HCT,11,3,0.234694939,9692096.701,0.692857143,0.427312775,0.528610354,0.721864952
Allo-HCT,11,4,0.232095141,9831049.227,0.714285714,0.386363636,0.501474926,0.727858293
Allo-HCT,11,5,0.234838273,9855288.846,0.672,0.40776699,0.50755287,0.737520129
Allo-HCT,12,1,0.232071402,9825705.804,0.572815534,0.287804878,0.383116883,0.694533762
Allo-HCT,12,2,0.234308548,9684459.452,0.620967742,0.37745098,0.469512195,0.720257235
Allo-HCT,12,3,0.231972446,9839754.388,0.76119403,0.447368421,0.563535912,0.745980707
Allo-HCT,12,4,0.196260615,26332812.75,0.790540541,0.3556231,0.490566038,0.608695652
Allo-HCT,12,5,0.235136952,9786192.192,0.769230769,0.379746835,0.508474576,0.719806763
Allo-HCT,13,1,0.232158616,9862971.633,0.726495726,0.393518519,0.510510511,0.737942122
Allo-HCT,13,2,0.234240761,9790165.831,0.710526316,0.352173913,0.470930233,0.707395498
Allo-HCT,13,3,0.231354662,9842281.153,0.696,0.414285714,0.519402985,0.741157556
Allo-HCT,13,4,0.235453997,9841773.138,0.663793103,0.358139535,0.465256798,0.714975845
Allo-HCT,13,5,0.23217339,9695128.852,0.701492537,0.406926407,0.515068493,0.714975845
Allo-HCT,14,1,0.234851513,9828641.71,0.640625,0.358078603,0.459383754,0.689710611
Allo-HCT,14,2,0.219530338,21361893.4,0.842105263,0.35443038,0.498886414,0.638263666
Allo-HCT,14,3,0.231563425,9856254.292,0.683760684,0.363636364,0.474777448,0.715434084
Allo-HCT,14,4,0.230110668,24256818.52,0.838983051,0.336734694,0.480582524,0.655394525
Allo-HCT,14,5,0.232202485,9718892.595,0.663934426,0.378504673,0.482142857,0.719806763
Allo-HCT,15,1,0.234394766,9811519.291,0.779527559,0.409090909,0.536585366,0.725080386
Allo-HCT,15,2,0.230040398,24286118.57,0.793103448,0.300653595,0.436018957,0.617363344
Allo-HCT,15,3,0.235226987,9824008.597,0.65,0.364485981,0.467065868,0.713826367
Allo-HCT,15,4,0.231516162,9973291.388,0.666666667,0.39800995,0.498442368,0.740740741
Allo-HCT,15,5,0.231559073,9803132.5,0.69047619,0.364016736,0.476712329,0.692431562
Allo-HCT,16,1,0.23226204,19336255.13,0.68852459,0.311111111,0.428571429,0.639871383
Allo-HCT,16,2,0.234868879,9790568.945,0.64084507,0.421296296,0.508379888,0.717041801
Allo-HCT,16,3,0.226682802,24283314.54,0.851851852,0.300653595,0.444444444,0.63022508
Allo-HCT,16,4,0.234633397,9835300.995,0.765765766,0.360169492,0.489913545,0.714975845
Allo-HCT,16,5,0.231761719,9814405.255,0.732283465,0.40969163,0.525423729,0.729468599
Allo-HCT,17,1,0.219578358,25856104.48,0.802721088,0.375796178,0.511930586,0.638263666
Allo-HCT,17,2,0.234549838,9688404.17,0.653846154,0.311926606,0.422360248,0.70096463
Allo-HCT,17,3,0.232457255,25170063.51,0.81147541,0.324590164,0.463700234,0.631832797
Allo-HCT,17,4,0.216597008,42820338.04,0.878787879,0.310991957,0.459405941,0.560386473
Allo-HCT,17,5,0.235174732,9822689.879,0.690265487,0.364485981,0.47706422,0.724637681
Allo-HCT,18,1,0.231965493,19308457.02,0.788990826,0.295532646,0.43,0.633440514
Allo-HCT,18,2,0.235217966,9853540.107,0.675438596,0.356481481,0.466666667,0.717041801
Allo-HCT,18,3,0.234626049,9839797.602,0.707317073,0.399082569,0.51026393,0.731511254
Allo-HCT,18,4,0.207508589,24224372.02,0.753424658,0.3514377,0.479302832,0.615136876
Allo-HCT,18,5,0.232271807,9697053.342,0.706766917,0.417777778,0.525139665,0.726247987
Allo-HCT,19,1,0.234124718,19112850.71,0.762711864,0.316901408,0.447761194,0.643086817
Allo-HCT,19,2,0.229642966,24244256.22,0.805555556,0.303135889,0.440506329,0.644694534
Allo-HCT,19,3,0.235285835,9833097.988,0.684210526,0.369918699,0.480211082,0.683279743
Allo-HCT,19,4,0.235326211,9699677.186,0.669291339,0.410628019,0.508982036,0.735909823
Allo-HCT,19,5,0.232273771,9818496.879,0.727272727,0.401826484,0.517647059,0.735909823
Allo-HCT,20,1,0.23245109,10599406.04,0.694214876,0.366812227,0.48,0.707395498
Allo-HCT,20,2,0.234855512,9834036.086,0.660714286,0.341013825,0.449848024,0.709003215
Allo-HCT,20,3,0.232231011,19716627.19,0.852173913,0.355072464,0.501278772,0.686495177
Allo-HCT,20,4,0.234487163,9838622.659,0.64516129,0.36199095,0.463768116,0.702093398
Allo-HCT,20,5,0.232269634,19128178.86,0.762962963,0.357638889,0.486997636,0.650563607
Allo-HCT,21,1,0.231468633,9696115.405,0.721311475,0.407407407,0.520710059,0.739549839
Allo-HCT,21,2,0.232016387,9822122.732,0.695652174,0.38277512,0.49382716,0.736334405
Allo-HCT,21,3,0.207470306,9804109.407,0.656716418,0.377682403,0.479564033,0.692926045
Allo-HCT,21,4,0.231817859,9815000.708,0.723577236,0.390350877,0.507122507,0.721417069
Allo-HCT,21,5,0.235252577,9864789.021,0.651162791,0.387096774,0.485549133,0.713365539
Allo-HCT,22,1,0.23535022,9866485.182,0.677966102,0.372093023,0.48048048,0.721864952
Allo-HCT,22,2,0.234399984,9648524.959,0.642857143,0.346153846,0.45,0.717041801
Allo-HCT,22,3,0.235338675,19703883.37,0.834586466,0.351265823,0.494432071,0.635048232
Allo-HCT,22,4,0.232215665,9812647.258,0.689393939,0.415525114,0.518518519,0.727858293
Allo-HCT,22,5,0.207162583,9926652.734,0.610687023,0.39408867,0.479041916,0.719806763
Allo-HCT,23,1,0.234241066,9835721.976,0.686567164,0.401746725,0.506887052,0.71221865
Allo-HCT,23,2,0.167141505,42826083.64,0.825301205,0.367292225,0.508348794,0.573954984
Allo-HCT,23,3,0.234875019,9815792.176,0.618181818,0.317757009,0.419753086,0.697749196
Allo-HCT,23,4,0.231903804,9862130.562,0.731707317,0.396475771,0.514285714,0.726247987
Allo-HCT,23,5,0.235435319,9826529.85,0.689655172,0.363636364,0.476190476,0.716586151
Allo-HCT,24,1,0.23519048,9696686.665,0.680672269,0.355263158,0.46685879,0.702572347
Allo-HCT,24,2,0.231955832,25694468.9,0.84496124,0.331306991,0.475982533,0.61414791
Allo-HCT,24,3,0.234733071,9567217.289,0.664122137,0.375,0.479338843,0.696141479
Allo-HCT,24,4,0.23217924,19703037.8,0.764705882,0.330909091,0.461928934,0.658615137
Allo-HCT,24,5,0.232279324,9793842.036,0.731481481,0.379807692,0.5,0.745571659
Allo-HCT,25,1,0.231958629,9840278.188,0.721153846,0.33632287,0.458715596,0.715434084
Allo-HCT,25,2,0.234607915,9864989.277,0.71969697,0.431818182,0.539772727,0.739549839
Allo-HCT,25,3,0.228728515,29192106.6,0.837209302,0.310344828,0.452830189,0.580385852
Allo-HCT,25,4,0.235129214,9828887.194,0.656716418,0.4,0.497175141,0.713365539
Allo-HCT,25,5,0.232071303,19715755.98,0.768518519,0.305147059,0.436842105,0.655394525
